identifier,generation_id,id
sunflora,2,2
yanma,2,2
wooper,2,2
quagsire,2,2
espeon,2,2
umbreon,2,2
murkrow,2,2
slowking,2,2
misdreavus,2,2
unown,2,2
wobbuffet,2,2
girafarig,2,2
pineco,2,2
forretress,2,2
dunsparce,2,2
gligar,2,2
steelix,2,2
snubbull,2,2
granbull,2,2
qwilfish,2,2
scizor,2,2
shuckle,2,2
heracross,2,2
sneasel,2,2
teddiursa,2,2
ursaring,2,2
slugma,2,2
magcargo,2,2
swinub,2,2
piloswine,2,2
corsola,2,2
remoraid,2,2
octillery,2,2
delibird,2,2
mantine,2,2
skarmory,2,2
houndour,2,2
houndoom,2,2
kingdra,2,2
phanpy,2,2
donphan,2,2
porygon2,2,2
stantler,2,2
smeargle,2,2
tyrogue,2,2
hitmontop,2,2
smoochum,2,2
elekid,2,2
magby,2,2
miltank,2,2
blissey,2,2
raikou,2,2
entei,2,2
suicune,2,2
larvitar,2,2
pupitar,2,2
tyranitar,2,2
lugia,2,2
ho-oh,2,2
celebi,2,2
treecko,3,3
grovyle,3,3
sceptile,3,3
torchic,3,3
combusken,3,3
blaziken,3,3
mudkip,3,3
marshtomp,3,3
swampert,3,3
poochyena,3,3
mightyena,3,3
zigzagoon,3,3
linoone,3,3
wurmple,3,3
silcoon,3,3
beautifly,3,3
cascoon,3,3
dustox,3,3
lotad,3,3
lombre,3,3
ludicolo,3,3
seedot,3,3
nuzleaf,3,3
shiftry,3,3
taillow,3,3
swellow,3,3
wingull,3,3
pelipper,3,3
ralts,3,3
kirlia,3,3
gardevoir,3,3
surskit,3,3
masquerain,3,3
shroomish,3,3
breloom,3,3
slakoth,3,3
vigoroth,3,3
slaking,3,3
nincada,3,3
ninjask,3,3
shedinja,3,3
whismur,3,3
loudred,3,3
exploud,3,3
makuhita,3,3
hariyama,3,3
azurill,3,3
nosepass,3,3
skitty,3,3
delcatty,3,3
sableye,3,3
mawile,3,3
aron,3,3
lairon,3,3
aggron,3,3
meditite,3,3
medicham,3,3
electrike,3,3
manectric,3,3
plusle,3,3
minun,3,3
volbeat,3,3
illumise,3,3
roselia,3,3
gulpin,3,3
swalot,3,3
carvanha,3,3
sharpedo,3,3
wailmer,3,3
wailord,3,3
numel,3,3
camerupt,3,3
torkoal,3,3
spoink,3,3
grumpig,3,3
spinda,3,3
trapinch,3,3
vibrava,3,3
flygon,3,3
cacnea,3,3
cacturne,3,3
swablu,3,3
altaria,3,3
zangoose,3,3
seviper,3,3
lunatone,3,3
solrock,3,3
barboach,3,3
whiscash,3,3
corphish,3,3
crawdaunt,3,3
baltoy,3,3
claydol,3,3
lileep,3,3
cradily,3,3
anorith,3,3
armaldo,3,3
feebas,3,3
milotic,3,3
castform,3,3
kecleon,3,3
shuppet,3,3
banette,3,3
duskull,3,3
dusclops,3,3
tropius,3,3
chimecho,3,3
absol,3,3
wynaut,3,3
snorunt,3,3
glalie,3,3
spheal,3,3
sealeo,3,3
walrein,3,3
clamperl,3,3
huntail,3,3
gorebyss,3,3
relicanth,3,3
luvdisc,3,3
bagon,3,3
shelgon,3,3
salamence,3,3
beldum,3,3
metang,3,3
metagross,3,3
regirock,3,3
regice,3,3
registeel,3,3
latias,3,3
latios,3,3
kyogre,3,3
groudon,3,3
rayquaza,3,3
jirachi,3,3
deoxys,3,3
turtwig,4,4
grotle,4,4
torterra,4,4
chimchar,4,4
monferno,4,4
infernape,4,4
piplup,4,4
prinplup,4,4
empoleon,4,4
starly,4,4
staravia,4,4
staraptor,4,4
bidoof,4,4
bibarel,4,4
kricketot,4,4
kricketune,4,4
shinx,4,4
luxio,4,4
luxray,4,4
budew,4,4
roserade,4,4
cranidos,4,4
rampardos,4,4
shieldon,4,4
bastiodon,4,4
burmy,4,4
wormadam,4,4
mothim,4,4
combee,4,4
vespiquen,4,4
pachirisu,4,4
buizel,4,4
floatzel,4,4
cherubi,4,4
cherrim,4,4
shellos,4,4
gastrodon,4,4
ambipom,4,4
drifloon,4,4
drifblim,4,4
buneary,4,4
lopunny,4,4
mismagius,4,4
honchkrow,4,4
glameow,4,4
purugly,4,4
chingling,4,4
stunky,4,4
skuntank,4,4
bronzor,4,4
bronzong,4,4
bonsly,4,4
mime-jr,4,4
happiny,4,4
chatot,4,4
spiritomb,4,4
gible,4,4
gabite,4,4
garchomp,4,4
munchlax,4,4
riolu,4,4
lucario,4,4
hippopotas,4,4
hippowdon,4,4
skorupi,4,4
drapion,4,4
croagunk,4,4
toxicroak,4,4
carnivine,4,4
finneon,4,4
lumineon,4,4
mantyke,4,4
snover,4,4
abomasnow,4,4
weavile,4,4
magnezone,4,4
lickilicky,4,4
rhyperior,4,4
tangrowth,4,4
electivire,4,4
magmortar,4,4
togekiss,4,4
yanmega,4,4
leafeon,4,4
glaceon,4,4
gliscor,4,4
mamoswine,4,4
porygon-z,4,4
gallade,4,4
probopass,4,4
dusknoir,4,4
froslass,4,4
rotom,4,4
uxie,4,4
mesprit,4,4
azelf,4,4
dialga,4,4
palkia,4,4
heatran,4,4
regigigas,4,4
giratina,4,4
cresselia,4,4
phione,4,4
manaphy,4,4
darkrai,4,4
shaymin,4,4
arceus,4,4
victini,5,5
snivy,5,5
servine,5,5
serperior,5,5
tepig,5,5
pignite,5,5
emboar,5,5
oshawott,5,5
dewott,5,5
samurott,5,5
patrat,5,5
watchog,5,5
lillipup,5,5
herdier,5,5
stoutland,5,5
purrloin,5,5
liepard,5,5
pansage,5,5
simisage,5,5
pansear,5,5
simisear,5,5
panpour,5,5
simipour,5,5
munna,5,5
musharna,5,5
pidove,5,5
tranquill,5,5
unfezant,5,5
blitzle,5,5
zebstrika,5,5
roggenrola,5,5
boldore,5,5
gigalith,5,5
woobat,5,5
swoobat,5,5
drilbur,5,5
excadrill,5,5
audino,5,5
timburr,5,5
gurdurr,5,5
conkeldurr,5,5
tympole,5,5
palpitoad,5,5
seismitoad,5,5
throh,5,5
sawk,5,5
sewaddle,5,5
swadloon,5,5
leavanny,5,5
venipede,5,5
whirlipede,5,5
scolipede,5,5
cottonee,5,5
whimsicott,5,5
petilil,5,5
lilligant,5,5
basculin,5,5
sandile,5,5
krokorok,5,5
krookodile,5,5
darumaka,5,5
darmanitan,5,5
maractus,5,5
dwebble,5,5
crustle,5,5
scraggy,5,5
scrafty,5,5
sigilyph,5,5
yamask,5,5
cofagrigus,5,5
tirtouga,5,5
carracosta,5,5
archen,5,5
archeops,5,5
trubbish,5,5
garbodor,5,5
zorua,5,5
zoroark,5,5
minccino,5,5
cinccino,5,5
gothita,5,5
gothorita,5,5
gothitelle,5,5
solosis,5,5
duosion,5,5
reuniclus,5,5
ducklett,5,5
swanna,5,5
vanillite,5,5
vanillish,5,5
vanilluxe,5,5
deerling,5,5
sawsbuck,5,5
emolga,5,5
karrablast,5,5
escavalier,5,5
foongus,5,5
amoonguss,5,5
frillish,5,5
jellicent,5,5
alomomola,5,5
joltik,5,5
galvantula,5,5
ferroseed,5,5
ferrothorn,5,5
klink,5,5
klang,5,5
klinklang,5,5
tynamo,5,5
eelektrik,5,5
eelektross,5,5
elgyem,5,5
beheeyem,5,5
litwick,5,5
lampent,5,5
chandelure,5,5
axew,5,5
fraxure,5,5
haxorus,5,5
cubchoo,5,5
beartic,5,5
cryogonal,5,5
shelmet,5,5
accelgor,5,5
stunfisk,5,5
mienfoo,5,5
mienshao,5,5
druddigon,5,5
golett,5,5
golurk,5,5
pawniard,5,5
bisharp,5,5
bouffalant,5,5
rufflet,5,5
braviary,5,5
vullaby,5,5
mandibuzz,5,5
heatmor,5,5
durant,5,5
deino,5,5
zweilous,5,5
hydreigon,5,5
larvesta,5,5
volcarona,5,5
cobalion,5,5
terrakion,5,5
virizion,5,5
tornadus,5,5
thundurus,5,5
reshiram,5,5
zekrom,5,5
landorus,5,5
kyurem,5,5
keldeo,5,5
meloetta,5,5
genesect,5,5
chespin,6,6
quilladin,6,6
chesnaught,6,6
fennekin,6,6
braixen,6,6
delphox,6,6
froakie,6,6
frogadier,6,6
greninja,6,6
bunnelby,6,6
diggersby,6,6
fletchling,6,6
fletchinder,6,6
talonflame,6,6
scatterbug,6,6
spewpa,6,6
vivillon,6,6
litleo,6,6
pyroar,6,6
flabebe,6,6
floette,6,6
florges,6,6
skiddo,6,6
gogoat,6,6
pancham,6,6
pangoro,6,6
furfrou,6,6
espurr,6,6
meowstic,6,6
honedge,6,6
doublade,6,6
aegislash,6,6
spritzee,6,6
aromatisse,6,6
swirlix,6,6
slurpuff,6,6
inkay,6,6
malamar,6,6
binacle,6,6
barbaracle,6,6
skrelp,6,6
dragalge,6,6
clauncher,6,6
clawitzer,6,6
helioptile,6,6
heliolisk,6,6
tyrunt,6,6
tyrantrum,6,6
amaura,6,6
aurorus,6,6
sylveon,6,6
hawlucha,6,6
dedenne,6,6
carbink,6,6
goomy,6,6
sliggoo,6,6
goodra,6,6
klefki,6,6
phantump,6,6
trevenant,6,6
pumpkaboo,6,6
gourgeist,6,6
bergmite,6,6
avalugg,6,6
noibat,6,6
noivern,6,6
xerneas,6,6
yveltal,6,6
zygarde,6,6
diancie,6,6
hoopa,6,6
volcanion,6,6
rowlet,7,7
dartrix,7,7
decidueye,7,7
litten,7,7
torracat,7,7
incineroar,7,7
popplio,7,7
brionne,7,7
primarina,7,7
pikipek,7,7
trumbeak,7,7
toucannon,7,7
yungoos,7,7
gumshoos,7,7
grubbin,7,7
charjabug,7,7
vikavolt,7,7
crabrawler,7,7
crabominable,7,7
oricorio,7,7
cutiefly,7,7
ribombee,7,7
rockruff,7,7
lycanroc,7,7
wishiwashi,7,7
mareanie,7,7
toxapex,7,7
mudbray,7,7
mudsdale,7,7
dewpider,7,7
araquanid,7,7
fomantis,7,7
lurantis,7,7
morelull,7,7
shiinotic,7,7
salandit,7,7
salazzle,7,7
stufful,7,7
bewear,7,7
bounsweet,7,7
steenee,7,7
tsareena,7,7
comfey,7,7
oranguru,7,7
passimian,7,7
wimpod,7,7
golisopod,7,7
sandygast,7,7
palossand,7,7
pyukumuku,7,7
type-null,7,7
silvally,7,7
minior,7,7
komala,7,7
turtonator,7,7
togedemaru,7,7
mimikyu,7,7
bruxish,7,7
drampa,7,7
dhelmise,7,7
jangmo-o,7,7
hakamo-o,7,7
kommo-o,7,7
tapu-koko,7,7
tapu-lele,7,7
tapu-bulu,7,7
tapu-fini,7,7
cosmog,7,7
cosmoem,7,7
solgaleo,7,7
lunala,7,7
nihilego,7,7
buzzwole,7,7
pheromosa,7,7
xurkitree,7,7
celesteela,7,7
kartana,7,7
guzzlord,7,7
necrozma,7,7
magearna,7,7
marshadow,7,7
poipole,7,7
naganadel,7,7
stakataka,7,7
blacephalon,7,7
zeraora,7,7
meltan,7,7
melmetal,7,7
grookey,8,8
thwackey,8,8
rillaboom,8,8
scorbunny,8,8
raboot,8,8
cinderace,8,8
sobble,8,8
drizzile,8,8
inteleon,8,8
skwovet,8,8
greedent,8,8
rookidee,8,8
corvisquire,8,8
corviknight,8,8
blipbug,8,8
dottler,8,8
orbeetle,8,8
nickit,8,8
thievul,8,8
gossifleur,8,8
eldegoss,8,8
wooloo,8,8
dubwool,8,8
chewtle,8,8
drednaw,8,8
yamper,8,8
boltund,8,8
rolycoly,8,8
carkol,8,8
coalossal,8,8
applin,8,8
flapple,8,8
appletun,8,8
silicobra,8,8
sandaconda,8,8
cramorant,8,8
arrokuda,8,8
barraskewda,8,8
toxel,8,8
toxtricity,8,8
sizzlipede,8,8
centiskorch,8,8
clobbopus,8,8
grapploct,8,8
sinistea,8,8
polteageist,8,8
hatenna,8,8
hattrem,8,8
hatterene,8,8
impidimp,8,8
morgrem,8,8
grimmsnarl,8,8
obstagoon,8,8
perrserker,8,8
cursola,8,8
sirfetchd,8,8
mr-rime,8,8
runerigus,8,8
milcery,8,8
alcremie,8,8
falinks,8,8
pincurchin,8,8
snom,8,8
frosmoth,8,8
stonjourner,8,8
eiscue,8,8
indeedee,8,8
morpeko,8,8
cufant,8,8
copperajah,8,8
dracozolt,8,8
arctozolt,8,8
dracovish,8,8
arctovish,8,8
duraludon,8,8
dreepy,8,8
drakloak,8,8
dragapult,8,8
zacian,8,8
zamazenta,8,8
eternatus,8,8
kubfu,8,8
urshifu,8,8
zarude,8,8
regieleki,8,8
regidrago,8,8
glastrier,8,8
spectrier,8,8
calyrex,8,8
wyrdeer,8,8
kleavor,8,8
ursaluna,8,8
basculegion,8,8
sneasler,8,8
overqwil,8,8
enamorus,8,8
sprigatito,9,9
floragato,9,9
meowscarada,9,9
fuecoco,9,9
crocalor,9,9
skeledirge,9,9
quaxly,9,9
quaxwell,9,9
quaquaval,9,9
lechonk,9,9
oinkologne,9,9
tarountula,9,9
spidops,9,9
nymble,9,9
lokix,9,9
pawmi,9,9
pawmo,9,9
pawmot,9,9
tandemaus,9,9
maushold,9,9
fidough,9,9
dachsbun,9,9
smoliv,9,9
dolliv,9,9
arboliva,9,9
squawkabilly,9,9
nacli,9,9
naclstack,9,9
garganacl,9,9
charcadet,9,9
armarouge,9,9
ceruledge,9,9
tadbulb,9,9
bellibolt,9,9
wattrel,9,9
kilowattrel,9,9
maschiff,9,9
mabosstiff,9,9
shroodle,9,9
grafaiai,9,9
bramblin,9,9
brambleghast,9,9
toedscool,9,9
toedscruel,9,9
klawf,9,9
capsakid,9,9
scovillain,9,9
rellor,9,9
rabsca,9,9
flittle,9,9
espathra,9,9
tinkatink,9,9
tinkatuff,9,9
tinkaton,9,9
wiglett,9,9
wugtrio,9,9
bombirdier,9,9
finizen,9,9
palafin,9,9
varoom,9,9
revavroom,9,9
cyclizar,9,9
orthworm,9,9
glimmet,9,9
glimmora,9,9
greavard,9,9
houndstone,9,9
flamigo,9,9
cetoddle,9,9
cetitan,9,9
veluza,9,9
dondozo,9,9
tatsugiri,9,9
annihilape,9,9
clodsire,9,9
farigiraf,9,9
dudunsparce,9,9
kingambit,9,9
great-tusk,9,9
scream-tail,9,9
brute-bonnet,9,9
flutter-mane,9,9
slither-wing,9,9
sandy-shocks,9,9
iron-treads,9,9
iron-bundle,9,9
iron-hands,9,9
iron-jugulis,9,9
iron-moth,9,9
iron-thorns,9,9
frigibax,9,9
arctibax,9,9
baxcalibur,9,9
gimmighoul,9,9
gholdengo,9,9
wo-chien,9,9
chien-pao,9,9
ting-lu,9,9
chi-yu,9,9
roaring-moon,9,9
iron-valiant,9,9
koraidon,9,9
miraidon,9,9
walking-wake,9,9
iron-leaves,9,9
dipplin,9,9
poltchageist,9,9
sinistcha,9,9
okidogi,9,9
munkidori,9,9
fezandipiti,9,9
ogerpon,9,9
archaludon,9,9
hydrapple,9,9
gouging-fire,9,9
raging-bolt,9,9
iron-boulder,9,9
iron-crown,9,9
terapagos,9,9
pecharunt,9,9
