id_x,identifier_x,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,is_legendary,is_mythical,order,conquest_order,id_y,identifier_y
36,clefable,1,35.0,14,6,6,4.0,6,25,140.0,0,10.0,0,3,0,0,0,38,,6,pink
37,vulpix,1,,15,3,8,3.0,6,190,50.0,0,20.0,0,2,0,0,0,39,,3,brown
38,ninetales,1,37.0,15,10,8,3.0,6,75,50.0,0,20.0,0,2,0,0,0,40,,10,yellow
39,jigglypuff,1,174.0,16,6,12,3.0,6,170,50.0,0,10.0,0,3,0,0,0,42,21.0,6,pink
40,wigglytuff,1,39.0,16,6,12,3.0,6,50,50.0,0,10.0,0,3,0,0,0,43,22.0,6,pink
41,zubat,1,,17,7,9,1.0,4,255,50.0,0,15.0,1,2,0,0,0,44,23.0,7,purple
42,golbat,1,41.0,17,7,9,1.0,4,90,50.0,0,15.0,1,2,0,0,0,45,24.0,7,purple
43,oddish,1,,18,2,7,3.0,4,255,50.0,0,20.0,0,4,0,0,0,47,,2,blue
44,gloom,1,43.0,18,2,12,3.0,4,120,50.0,0,20.0,1,4,0,0,0,48,,2,blue
45,vileplume,1,44.0,18,8,12,3.0,4,45,50.0,0,20.0,1,4,0,0,0,49,,8,red
46,paras,1,,19,8,14,2.0,4,190,70.0,0,20.0,0,2,0,0,0,51,,8,red
47,parasect,1,46.0,19,8,14,2.0,4,75,70.0,0,20.0,0,2,0,0,0,52,,8,red
48,venonat,1,,20,7,12,2.0,4,190,70.0,0,20.0,0,2,0,0,0,53,,7,purple
49,venomoth,1,48.0,20,7,13,2.0,4,75,70.0,0,20.0,0,2,0,0,0,54,,7,purple
50,diglett,1,,21,3,5,1.0,4,255,50.0,0,20.0,0,2,0,0,0,55,,3,brown
51,dugtrio,1,50.0,21,3,11,1.0,4,50,50.0,0,20.0,0,2,0,0,0,56,,3,brown
52,meowth,1,,22,10,8,8.0,4,255,50.0,0,20.0,0,2,0,0,0,57,58.0,10,yellow
53,persian,1,52.0,22,10,8,8.0,4,90,50.0,0,20.0,0,2,0,0,0,58,59.0,10,yellow
54,psyduck,1,,23,10,6,9.0,4,190,50.0,0,20.0,0,2,0,0,0,59,,10,yellow
55,golduck,1,54.0,23,2,6,9.0,4,75,50.0,0,20.0,0,2,0,0,0,60,,2,blue
56,mankey,1,,24,3,6,4.0,4,190,70.0,0,20.0,0,2,0,0,0,61,,3,brown
57,primeape,1,56.0,24,3,6,4.0,4,75,70.0,0,20.0,0,2,0,0,0,62,,3,brown
58,growlithe,1,,25,3,8,3.0,2,190,50.0,0,20.0,0,1,0,0,0,63,,3,brown
59,arcanine,1,58.0,25,3,8,3.0,2,75,50.0,0,20.0,0,1,0,0,0,64,,3,brown
60,poliwag,1,,26,2,7,9.0,4,255,50.0,0,20.0,0,4,0,0,0,65,,2,blue
61,poliwhirl,1,60.0,26,2,12,9.0,4,120,50.0,0,20.0,0,4,0,0,0,66,,2,blue
62,poliwrath,1,61.0,26,2,12,9.0,4,45,50.0,0,20.0,0,4,0,0,0,67,,2,blue
63,abra,1,,27,3,6,8.0,2,200,50.0,0,20.0,0,4,0,0,0,69,127.0,3,brown
64,kadabra,1,63.0,27,3,6,8.0,2,100,50.0,0,20.0,1,4,0,0,0,70,128.0,3,brown
65,alakazam,1,64.0,27,3,12,8.0,2,50,50.0,0,20.0,1,4,1,0,0,71,129.0,3,brown
66,machop,1,,28,4,6,4.0,2,180,50.0,0,20.0,0,4,0,0,0,72,98.0,4,gray
67,machoke,1,66.0,28,4,12,4.0,2,90,50.0,0,20.0,0,4,0,0,0,73,99.0,4,gray
68,machamp,1,67.0,28,4,12,4.0,2,45,50.0,0,20.0,0,4,0,0,0,74,100.0,4,gray
69,bellsprout,1,,29,5,12,2.0,4,255,70.0,0,20.0,0,4,0,0,0,75,,5,green
70,weepinbell,1,69.0,29,5,5,2.0,4,120,70.0,0,20.0,0,4,0,0,0,76,,5,green
71,victreebel,1,70.0,29,5,5,2.0,4,45,70.0,0,20.0,0,4,0,0,0,77,,5,green
72,tentacool,1,,30,2,10,7.0,4,190,50.0,0,20.0,0,1,0,0,0,78,,2,blue
73,tentacruel,1,72.0,30,2,10,7.0,4,60,50.0,0,20.0,0,1,0,0,0,79,,2,blue
74,geodude,1,,31,3,4,4.0,4,255,70.0,0,15.0,0,4,0,0,0,80,,3,brown
75,graveler,1,74.0,31,3,12,4.0,4,120,70.0,0,15.0,0,4,0,0,0,81,,3,brown
76,golem,1,75.0,31,3,12,4.0,4,45,70.0,0,15.0,0,4,0,0,0,82,,3,brown
77,ponyta,1,,32,10,8,3.0,4,190,50.0,0,20.0,0,2,0,0,0,83,,10,yellow
78,rapidash,1,77.0,32,10,8,3.0,4,60,50.0,0,20.0,0,2,0,0,0,84,,10,yellow
79,slowpoke,1,,33,6,8,9.0,4,190,50.0,0,20.0,0,2,0,0,0,85,,6,pink
80,slowbro,1,79.0,33,6,6,9.0,4,75,50.0,0,20.0,0,2,1,0,0,86,,6,pink
81,magnemite,1,,34,4,4,6.0,-1,190,50.0,0,20.0,0,2,0,0,0,88,,4,gray
82,magneton,1,81.0,34,4,11,6.0,-1,60,50.0,0,20.0,0,2,0,0,0,89,,4,gray
83,farfetchd,1,,35,3,9,3.0,4,45,50.0,0,20.0,0,2,0,0,0,91,,3,brown
84,doduo,1,,36,3,7,3.0,4,190,70.0,0,20.0,1,2,0,0,0,92,,3,brown
85,dodrio,1,84.0,36,3,7,3.0,4,45,70.0,0,20.0,1,2,0,0,0,93,,3,brown
86,seel,1,,37,9,3,7.0,4,190,70.0,0,20.0,0,2,0,0,0,94,,9,white
87,dewgong,1,86.0,37,9,3,7.0,4,75,70.0,0,20.0,0,2,0,0,0,95,,9,white
88,grimer,1,,38,7,4,8.0,4,190,70.0,0,20.0,0,2,0,0,0,96,,7,purple
89,muk,1,88.0,38,7,4,8.0,4,75,70.0,0,20.0,0,2,0,0,0,97,,7,purple
90,shellder,1,,39,7,1,7.0,4,190,50.0,0,20.0,0,1,0,0,0,98,,7,purple
91,cloyster,1,90.0,39,7,1,7.0,4,60,50.0,0,20.0,0,1,0,0,0,99,,7,purple
92,gastly,1,,40,7,1,1.0,4,190,50.0,0,20.0,0,4,0,0,0,100,112.0,7,purple
93,haunter,1,92.0,40,7,4,1.0,4,90,50.0,0,20.0,0,4,0,0,0,101,113.0,7,purple
94,gengar,1,93.0,40,7,6,1.0,4,45,50.0,0,20.0,0,4,1,0,0,102,114.0,7,purple
95,onix,1,,41,4,2,1.0,4,45,50.0,0,25.0,0,2,0,0,0,103,175.0,4,gray
96,drowzee,1,,42,10,12,3.0,4,190,70.0,0,20.0,0,2,0,0,0,105,,10,yellow
97,hypno,1,96.0,42,10,12,3.0,4,75,70.0,0,20.0,1,2,0,0,0,106,,10,yellow
98,krabby,1,,43,8,14,9.0,4,225,50.0,0,20.0,0,2,0,0,0,107,,8,red
99,kingler,1,98.0,43,8,14,9.0,4,60,50.0,0,20.0,0,2,0,0,0,108,,8,red
100,voltorb,1,,44,8,1,8.0,-1,190,70.0,0,20.0,0,2,0,0,0,109,,8,red
101,electrode,1,100.0,44,8,1,8.0,-1,60,70.0,0,20.0,0,2,0,0,0,110,,8,red
102,exeggcute,1,,45,6,11,2.0,4,90,50.0,0,20.0,0,1,0,0,0,111,,6,pink
103,exeggutor,1,102.0,45,10,7,2.0,4,45,50.0,0,20.0,0,1,0,0,0,112,,10,yellow
104,cubone,1,,46,3,6,4.0,4,190,50.0,0,20.0,0,2,0,0,0,113,,3,brown
105,marowak,1,104.0,46,3,6,4.0,4,75,50.0,0,20.0,0,2,0,0,0,114,,3,brown
106,hitmonlee,1,236.0,47,3,12,8.0,0,45,50.0,0,25.0,0,2,0,0,0,116,,3,brown
107,hitmonchan,1,236.0,47,3,12,8.0,0,45,50.0,0,25.0,0,2,0,0,0,117,,3,brown
108,lickitung,1,,48,6,6,3.0,4,45,50.0,0,20.0,0,2,0,0,0,119,,6,pink
109,koffing,1,,49,7,1,8.0,4,190,50.0,0,20.0,0,2,0,0,0,121,,7,purple
110,weezing,1,109.0,49,7,11,8.0,4,60,50.0,0,20.0,0,2,0,0,0,122,,7,purple
111,rhyhorn,1,,50,4,8,6.0,4,120,50.0,0,20.0,1,1,0,0,0,123,160.0,4,gray
112,rhydon,1,111.0,50,4,6,6.0,4,60,50.0,0,20.0,1,1,0,0,0,124,161.0,4,gray
113,chansey,1,440.0,51,6,6,8.0,8,30,140.0,0,40.0,0,3,0,0,0,127,,6,pink
114,tangela,1,,52,2,7,3.0,4,45,50.0,0,20.0,0,2,0,0,0,129,,2,blue
115,kangaskhan,1,,53,3,6,3.0,8,45,50.0,0,20.0,0,2,1,0,0,131,,3,brown
116,horsea,1,,54,2,5,7.0,4,225,50.0,0,20.0,0,2,0,0,0,132,,2,blue
117,seadra,1,116.0,54,2,5,7.0,4,75,50.0,0,20.0,0,2,0,0,0,133,,2,blue
118,goldeen,1,,55,8,3,9.0,4,225,50.0,0,20.0,1,2,0,0,0,135,,8,red
119,seaking,1,118.0,55,8,3,9.0,4,60,50.0,0,20.0,1,2,0,0,0,136,,8,red
120,staryu,1,,56,3,5,7.0,-1,225,50.0,0,20.0,0,1,0,0,0,137,,3,brown
121,starmie,1,120.0,56,7,5,7.0,-1,60,50.0,0,20.0,0,1,0,0,0,138,,7,purple
122,mr-mime,1,439.0,57,6,12,8.0,4,45,50.0,0,25.0,0,2,0,0,0,140,,6,pink
123,scyther,1,,58,5,13,3.0,4,45,50.0,0,25.0,1,2,0,0,0,141,188.0,5,green
124,jynx,1,238.0,59,8,12,8.0,8,45,50.0,0,25.0,0,2,0,0,0,144,,8,red
125,electabuzz,1,239.0,60,10,6,3.0,2,45,50.0,0,25.0,0,2,0,0,0,146,,10,yellow
126,magmar,1,240.0,61,8,6,4.0,2,45,50.0,0,25.0,0,2,0,0,0,149,,8,red
127,pinsir,1,,62,3,12,2.0,4,45,50.0,0,25.0,0,1,1,0,0,151,,3,brown
128,tauros,1,,63,3,8,3.0,0,45,50.0,0,20.0,0,1,0,0,0,152,,3,brown
129,magikarp,1,,64,8,3,9.0,4,255,50.0,0,5.0,1,1,0,0,0,153,13.0,8,red
130,gyarados,1,129.0,64,2,2,9.0,4,45,50.0,0,5.0,1,1,1,0,0,154,14.0,2,blue
131,lapras,1,,65,2,3,7.0,4,45,50.0,0,40.0,0,1,0,0,0,155,190.0,2,blue
132,ditto,1,,66,7,1,8.0,-1,35,50.0,0,20.0,0,2,0,0,0,156,,7,purple
133,eevee,1,,67,3,8,8.0,1,45,50.0,0,35.0,1,2,0,0,0,157,1.0,3,brown
134,vaporeon,1,133.0,67,2,8,8.0,1,45,50.0,0,35.0,0,2,0,0,0,158,2.0,2,blue
135,jolteon,1,133.0,67,10,8,8.0,1,45,50.0,0,35.0,0,2,0,0,0,159,3.0,10,yellow
136,flareon,1,133.0,67,8,8,8.0,1,45,50.0,0,35.0,0,2,0,0,0,160,4.0,8,red
137,porygon,1,,68,6,7,8.0,-1,45,50.0,0,20.0,0,2,0,0,0,166,,6,pink
138,omanyte,1,,69,2,10,7.0,1,45,50.0,0,30.0,0,2,0,0,0,169,,2,blue
139,omastar,1,138.0,69,2,10,7.0,1,45,50.0,0,30.0,0,2,0,0,0,170,,2,blue
140,kabuto,1,,70,3,14,7.0,1,45,50.0,0,30.0,0,2,0,0,0,171,,3,brown
141,kabutops,1,140.0,70,3,6,7.0,1,45,50.0,0,30.0,0,2,0,0,0,172,,3,brown
142,aerodactyl,1,,71,7,9,4.0,1,45,50.0,0,35.0,0,1,1,0,0,173,,7,purple
143,snorlax,1,446.0,72,1,12,4.0,1,25,50.0,0,40.0,0,1,0,0,0,175,179.0,1,black
144,articuno,1,,73,2,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,176,192.0,2,blue
145,zapdos,1,,74,10,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,177,,10,yellow
146,moltres,1,,75,10,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,178,,10,yellow
147,dratini,1,,76,2,2,9.0,4,45,35.0,0,40.0,0,1,0,0,0,179,76.0,2,blue
148,dragonair,1,147.0,76,2,2,9.0,4,45,35.0,0,40.0,0,1,0,0,0,180,77.0,2,blue
149,dragonite,1,148.0,76,3,6,9.0,4,45,35.0,0,40.0,0,1,0,0,0,181,78.0,3,brown
150,mewtwo,1,,77,7,6,5.0,-1,3,0.0,0,120.0,0,1,1,1,0,182,196.0,7,purple
151,mew,1,,78,6,6,5.0,-1,45,100.0,0,120.0,0,4,0,0,1,183,,6,pink
152,chikorita,2,,79,5,8,3.0,1,45,70.0,0,20.0,0,4,0,0,0,184,,5,green
153,bayleef,2,152.0,79,5,8,3.0,1,45,70.0,0,20.0,0,4,0,0,0,185,,5,green
154,meganium,2,153.0,79,5,8,3.0,1,45,70.0,0,20.0,1,4,0,0,0,186,,5,green
155,cyndaquil,2,,80,10,12,3.0,1,45,70.0,0,20.0,0,4,0,0,0,187,,10,yellow
156,quilava,2,155.0,80,10,8,3.0,1,45,70.0,0,20.0,0,4,0,0,0,188,,10,yellow
157,typhlosion,2,156.0,80,10,8,3.0,1,45,70.0,0,20.0,0,4,0,0,0,189,,10,yellow
158,totodile,2,,81,2,6,9.0,1,45,70.0,0,20.0,0,4,0,0,0,190,,2,blue
159,croconaw,2,158.0,81,2,6,9.0,1,45,70.0,0,20.0,0,4,0,0,0,191,,2,blue
160,feraligatr,2,159.0,81,2,6,9.0,1,45,70.0,0,20.0,0,4,0,0,0,192,,2,blue
161,sentret,2,,82,3,8,3.0,4,255,70.0,0,15.0,0,2,0,0,0,193,,3,brown
162,furret,2,161.0,82,3,8,3.0,4,90,70.0,0,15.0,0,2,0,0,0,194,,3,brown
163,hoothoot,2,,83,3,9,2.0,4,255,50.0,0,15.0,0,2,0,0,0,195,,3,brown
164,noctowl,2,163.0,83,3,9,2.0,4,90,50.0,0,15.0,0,2,0,0,0,196,,3,brown
165,ledyba,2,,84,8,9,2.0,4,255,70.0,0,15.0,1,3,0,0,0,197,,8,red
166,ledian,2,165.0,84,8,9,2.0,4,90,70.0,0,15.0,1,3,0,0,0,198,,8,red
167,spinarak,2,,85,5,14,2.0,4,255,70.0,0,15.0,0,3,0,0,0,199,,5,green
168,ariados,2,167.0,85,8,14,2.0,4,90,70.0,0,15.0,0,3,0,0,0,200,,8,red
169,crobat,2,42.0,17,7,13,1.0,4,90,50.0,0,15.0,0,2,0,0,0,46,25.0,7,purple
170,chinchou,2,,86,2,3,7.0,4,190,50.0,0,20.0,0,1,0,0,0,201,,2,blue
171,lanturn,2,170.0,86,2,3,7.0,4,75,50.0,0,20.0,0,1,0,0,0,202,,2,blue
172,pichu,2,,10,10,8,2.0,4,190,50.0,1,10.0,0,2,0,0,0,25,15.0,10,yellow
173,cleffa,2,,14,6,6,4.0,6,150,140.0,1,10.0,0,3,0,0,0,36,,6,pink
174,igglybuff,2,,16,6,12,3.0,6,170,50.0,1,10.0,0,3,0,0,0,41,20.0,6,pink
175,togepi,2,,87,9,12,2.0,1,190,50.0,1,10.0,0,3,0,0,0,203,,9,white
176,togetic,2,175.0,87,9,12,2.0,1,75,50.0,0,10.0,0,3,0,0,0,204,,9,white
177,natu,2,,88,5,9,2.0,4,190,50.0,0,20.0,0,2,0,0,0,206,,5,green
178,xatu,2,177.0,88,5,9,2.0,4,75,50.0,0,20.0,1,2,0,0,0,207,,5,green
179,mareep,2,,89,9,8,3.0,4,235,70.0,0,20.0,0,4,0,0,0,208,45.0,9,white
180,flaaffy,2,179.0,89,6,6,3.0,4,120,70.0,0,20.0,0,4,0,0,0,209,46.0,6,pink
181,ampharos,2,180.0,89,10,6,3.0,4,45,70.0,0,20.0,0,4,1,0,0,210,47.0,10,yellow
182,bellossom,2,44.0,18,5,12,3.0,4,45,50.0,0,20.0,0,4,0,0,0,50,,5,green
183,marill,2,298.0,90,2,6,9.0,4,190,50.0,0,10.0,0,3,0,0,0,212,,2,blue
184,azumarill,2,183.0,90,2,6,9.0,4,75,50.0,0,10.0,0,3,0,0,0,213,,2,blue
185,sudowoodo,2,438.0,91,3,12,2.0,4,65,50.0,0,20.0,1,2,0,0,0,215,,3,brown
186,politoed,2,61.0,26,5,12,9.0,4,45,50.0,0,20.0,1,4,0,0,0,68,,5,green
187,hoppip,2,,92,6,6,3.0,4,255,70.0,0,20.0,0,4,0,0,0,216,,6,pink
188,skiploom,2,187.0,92,5,6,3.0,4,120,70.0,0,20.0,0,4,0,0,0,217,,5,green
189,jumpluff,2,188.0,92,2,6,3.0,4,45,70.0,0,20.0,0,4,0,0,0,218,,2,blue
190,aipom,2,,93,7,6,2.0,4,45,70.0,0,20.0,1,3,0,0,0,219,,7,purple
191,sunkern,2,,94,10,1,3.0,4,235,70.0,0,20.0,0,4,0,0,0,221,,10,yellow
192,sunflora,2,191.0,94,10,12,3.0,4,120,70.0,0,20.0,0,4,0,0,0,222,,10,yellow
193,yanma,2,,95,8,13,2.0,4,75,70.0,0,20.0,0,2,0,0,0,223,,8,red
194,wooper,2,,96,2,7,9.0,4,255,50.0,0,20.0,1,2,0,0,0,225,18.0,2,blue
195,quagsire,2,194.0,96,2,6,9.0,4,90,50.0,0,20.0,1,2,0,0,0,226,19.0,2,blue
196,espeon,2,133.0,67,7,8,8.0,1,45,50.0,0,35.0,0,2,0,0,0,161,5.0,7,purple
197,umbreon,2,133.0,67,1,8,8.0,1,45,35.0,0,35.0,0,2,0,0,0,162,6.0,1,black
198,murkrow,2,,97,1,9,2.0,4,30,35.0,0,20.0,1,4,0,0,0,227,,1,black
199,slowking,2,79.0,33,6,6,9.0,4,70,50.0,0,20.0,0,2,0,0,0,87,,6,pink
200,misdreavus,2,,98,4,1,1.0,4,45,35.0,0,25.0,0,3,0,0,0,229,183.0,4,gray
201,unown,2,,99,1,1,5.0,-1,225,70.0,0,40.0,0,2,0,0,0,231,,1,black
202,wobbuffet,2,360.0,100,2,5,1.0,4,45,50.0,0,20.0,1,2,0,0,0,233,,2,blue
203,girafarig,2,,101,10,8,3.0,4,60,70.0,0,20.0,1,2,0,0,0,234,,10,yellow
204,pineco,2,,102,4,1,2.0,4,190,70.0,0,20.0,0,2,0,0,0,235,56.0,4,gray
205,forretress,2,204.0,102,7,1,2.0,4,75,70.0,0,20.0,0,2,0,0,0,236,57.0,7,purple
206,dunsparce,2,,103,10,2,1.0,4,190,50.0,0,20.0,0,2,0,0,0,237,,10,yellow
207,gligar,2,,104,7,9,4.0,4,60,70.0,0,20.0,1,4,0,0,0,238,,7,purple
208,steelix,2,95.0,41,4,2,1.0,4,25,50.0,0,25.0,1,2,1,0,0,104,176.0,4,gray
209,snubbull,2,,105,6,12,8.0,6,190,70.0,0,20.0,0,3,0,0,0,240,,6,pink
210,granbull,2,209.0,105,7,6,8.0,6,75,70.0,0,20.0,0,3,0,0,0,241,,7,purple
211,qwilfish,2,,106,4,3,7.0,4,45,50.0,0,20.0,0,2,0,0,0,242,,4,gray
212,scizor,2,123.0,58,8,13,3.0,4,25,50.0,0,25.0,1,2,1,0,0,142,189.0,8,red
213,shuckle,2,,107,10,14,4.0,4,190,50.0,0,20.0,0,4,0,0,0,243,,10,yellow
214,heracross,2,,108,2,12,2.0,4,45,50.0,0,25.0,1,1,1,0,0,244,,2,blue
215,sneasel,2,,109,1,6,2.0,4,60,35.0,0,20.0,1,4,0,0,0,245,181.0,1,black
216,teddiursa,2,,110,3,6,4.0,4,120,70.0,0,20.0,0,2,0,0,0,247,,3,brown
217,ursaring,2,216.0,110,3,6,4.0,4,60,70.0,0,20.0,1,2,0,0,0,248,,3,brown
218,slugma,2,,111,8,2,4.0,4,190,70.0,0,20.0,0,2,0,0,0,249,,8,red
219,magcargo,2,218.0,111,8,2,4.0,4,75,70.0,0,20.0,0,2,0,0,0,250,,8,red
220,swinub,2,,112,3,8,1.0,4,225,50.0,0,20.0,0,1,0,0,0,251,,3,brown
221,piloswine,2,220.0,112,3,8,1.0,4,75,50.0,0,20.0,1,1,0,0,0,252,,3,brown
222,corsola,2,,113,6,14,7.0,6,60,50.0,0,20.0,0,3,0,0,0,254,,6,pink
223,remoraid,2,,114,4,3,7.0,4,190,50.0,0,20.0,0,2,0,0,0,255,,4,gray
224,octillery,2,223.0,114,8,10,7.0,4,75,50.0,0,20.0,1,2,0,0,0,256,,8,red
225,delibird,2,,115,8,9,4.0,4,45,50.0,0,20.0,0,3,0,0,0,257,,8,red
226,mantine,2,458.0,116,7,9,7.0,4,25,50.0,0,25.0,0,1,0,0,0,259,,7,purple
227,skarmory,2,,117,4,9,6.0,4,25,50.0,0,25.0,0,1,0,0,0,260,,4,gray
228,houndour,2,,118,1,8,6.0,4,120,35.0,0,20.0,0,1,0,0,0,261,,1,black
229,houndoom,2,228.0,118,1,8,6.0,4,45,35.0,0,20.0,1,1,1,0,0,262,,1,black
230,kingdra,2,117.0,54,2,5,7.0,4,45,50.0,0,20.0,0,2,0,0,0,134,,2,blue
231,phanpy,2,,119,2,8,6.0,4,120,70.0,0,20.0,0,2,0,0,0,263,,2,blue
232,donphan,2,231.0,119,4,8,6.0,4,60,70.0,0,20.0,1,2,0,0,0,264,,4,gray
233,porygon2,2,137.0,68,8,7,8.0,-1,45,50.0,0,20.0,0,2,0,0,0,167,,8,red
234,stantler,2,,120,3,8,2.0,4,45,70.0,0,20.0,0,1,0,0,0,265,,3,brown
235,smeargle,2,,121,9,6,8.0,4,45,70.0,0,20.0,0,3,0,0,0,266,,9,white
236,tyrogue,2,,47,7,12,8.0,0,75,50.0,1,25.0,0,2,0,0,0,115,,7,purple
237,hitmontop,2,236.0,47,3,6,8.0,0,45,50.0,0,25.0,0,2,0,0,0,118,,3,brown
238,smoochum,2,,59,6,12,8.0,8,45,50.0,1,25.0,0,2,0,0,0,143,,6,pink
239,elekid,2,,60,10,12,3.0,2,45,50.0,1,25.0,0,2,0,0,0,145,,10,yellow
240,magby,2,,61,8,6,4.0,2,45,50.0,1,25.0,0,2,0,0,0,148,,8,red
241,miltank,2,,122,6,6,3.0,8,45,50.0,0,20.0,0,1,0,0,0,267,,6,pink
242,blissey,2,113.0,51,6,12,8.0,8,30,140.0,0,40.0,0,3,0,0,0,128,,6,pink
243,raikou,2,,123,10,8,3.0,-1,3,35.0,0,80.0,0,1,0,1,0,268,,10,yellow
244,entei,2,,124,3,8,3.0,-1,3,35.0,0,80.0,0,1,0,1,0,269,,3,brown
245,suicune,2,,125,2,8,3.0,-1,3,35.0,0,80.0,0,1,0,1,0,270,,2,blue
246,larvitar,2,,126,5,6,4.0,4,45,35.0,0,40.0,0,1,0,0,0,271,79.0,5,green
247,pupitar,2,246.0,126,4,2,4.0,4,45,35.0,0,40.0,0,1,0,0,0,272,80.0,4,gray
248,tyranitar,2,247.0,126,5,6,4.0,4,45,35.0,0,40.0,0,1,1,0,0,273,81.0,5,green
249,lugia,2,,127,9,9,5.0,-1,3,0.0,0,120.0,0,1,0,1,0,274,,9,white
250,ho-oh,2,,128,8,9,5.0,-1,3,0.0,0,120.0,0,1,0,1,0,275,,8,red
251,celebi,2,,129,5,12,2.0,-1,45,100.0,0,120.0,0,4,0,0,1,276,,5,green
252,treecko,3,,130,5,6,2.0,1,45,50.0,0,20.0,0,4,0,0,0,277,130.0,5,green
253,grovyle,3,252.0,130,5,6,2.0,1,45,50.0,0,20.0,0,4,0,0,0,278,131.0,5,green
254,sceptile,3,253.0,130,5,6,2.0,1,45,50.0,0,20.0,0,4,1,0,0,279,132.0,5,green
