Pokemon: bulbasaur, Type: unknown
Pokemon: cloyster, Type: unknown
Pokemon: gastly, Type: unknown
Pokemon: haunter, Type: unknown
Pokemon: gengar, Type: unknown
Pokemon: onix, Type: unknown
Pokemon: drowzee, Type: unknown
Pokemon: hypno, Type: unknown
Pokemon: krabby, Type: unknown
Pokemon: kingler, Type: unknown
Pokemon: voltorb, Type: unknown
Pokemon: electrode, Type: unknown
Pokemon: exeggcute, Type: unknown
Pokemon: exeggutor, Type: unknown
Pokemon: cubone, Type: unknown
Pokemon: marowak, Type: unknown
Pokemon: hitmonlee, Type: unknown
Pokemon: hitmonchan, Type: unknown
Pokemon: lickitung, Type: unknown
Pokemon: koffing, Type: unknown
Pokemon: weezing, Type: unknown
Pokemon: rhyhorn, Type: unknown
Pokemon: rhydon, Type: unknown
Pokemon: chansey, Type: unknown
Pokemon: tangela, Type: unknown
Pokemon: kangaskhan, Type: unknown
Pokemon: horsea, Type: unknown
Pokemon: seadra, Type: unknown
Pokemon: goldeen, Type: unknown
Pokemon: seaking, Type: unknown
Pokemon: staryu, Type: unknown
Pokemon: starmie, Type: unknown
Pokemon: mr-mime, Type: unknown
Pokemon: scyther, Type: unknown
Pokemon: jynx, Type: unknown
Pokemon: electabuzz, Type: unknown
Pokemon: magmar, Type: unknown
Pokemon: pinsir, Type: unknown
Pokemon: tauros, Type: unknown
Pokemon: magikarp, Type: unknown
Pokemon: gyarados, Type: unknown
Pokemon: lapras, Type: unknown
Pokemon: ditto, Type: unknown
Pokemon: eevee, Type: unknown
Pokemon: vaporeon, Type: unknown
Pokemon: jolteon, Type: unknown
Pokemon: flareon, Type: unknown
Pokemon: porygon, Type: unknown
Pokemon: omanyte, Type: unknown
Pokemon: omastar, Type: unknown
Pokemon: kabuto, Type: unknown
Pokemon: kabutops, Type: unknown
Pokemon: aerodactyl, Type: unknown
Pokemon: snorlax, Type: unknown
Pokemon: articuno, Type: unknown
Pokemon: zapdos, Type: unknown
Pokemon: moltres, Type: unknown
Pokemon: dratini, Type: unknown
Pokemon: dragonair, Type: unknown
Pokemon: dragonite, Type: unknown
Pokemon: mewtwo, Type: unknown
Pokemon: mew, Type: unknown
Pokemon: chikorita, Type: unknown
Pokemon: bayleef, Type: unknown
Pokemon: meganium, Type: unknown
Pokemon: cyndaquil, Type: unknown
Pokemon: quilava, Type: unknown
Pokemon: typhlosion, Type: unknown
Pokemon: totodile, Type: unknown
Pokemon: croconaw, Type: unknown
Pokemon: feraligatr, Type: unknown
Pokemon: sentret, Type: unknown
Pokemon: furret, Type: unknown
Pokemon: hoothoot, Type: unknown
Pokemon: noctowl, Type: unknown
Pokemon: ledyba, Type: unknown
Pokemon: ledian, Type: unknown
Pokemon: spinarak, Type: unknown
Pokemon: ariados, Type: unknown
Pokemon: crobat, Type: unknown
Pokemon: chinchou, Type: unknown
Pokemon: lanturn, Type: unknown
Pokemon: pichu, Type: unknown
Pokemon: cleffa, Type: unknown
Pokemon: igglybuff, Type: unknown
Pokemon: togepi, Type: unknown
Pokemon: togetic, Type: unknown
Pokemon: natu, Type: unknown
Pokemon: xatu, Type: unknown
Pokemon: mareep, Type: unknown
Pokemon: flaaffy, Type: unknown
Pokemon: ampharos, Type: unknown
Pokemon: bellossom, Type: unknown
Pokemon: marill, Type: unknown
Pokemon: azumarill, Type: unknown
Pokemon: sudowoodo, Type: unknown
Pokemon: politoed, Type: unknown
Pokemon: hoppip, Type: unknown
Pokemon: skiploom, Type: unknown
Pokemon: jumpluff, Type: unknown
Pokemon: aipom, Type: unknown
Pokemon: sunkern, Type: unknown
Pokemon: sunflora, Type: unknown
Pokemon: yanma, Type: unknown
Pokemon: wooper, Type: unknown
Pokemon: quagsire, Type: unknown
Pokemon: espeon, Type: unknown
Pokemon: umbreon, Type: unknown
Pokemon: murkrow, Type: unknown
Pokemon: slowking, Type: unknown
Pokemon: misdreavus, Type: unknown
Pokemon: unown, Type: unknown
Pokemon: wobbuffet, Type: unknown
Pokemon: girafarig, Type: unknown
Pokemon: pineco, Type: unknown
Pokemon: forretress, Type: unknown
Pokemon: dunsparce, Type: unknown
Pokemon: gligar, Type: unknown
Pokemon: steelix, Type: unknown
Pokemon: snubbull, Type: unknown
Pokemon: granbull, Type: unknown
Pokemon: qwilfish, Type: unknown
Pokemon: scizor, Type: unknown
Pokemon: shuckle, Type: unknown
Pokemon: heracross, Type: unknown
Pokemon: sneasel, Type: unknown
Pokemon: teddiursa, Type: unknown
Pokemon: ursaring, Type: unknown
Pokemon: slugma, Type: unknown
Pokemon: magcargo, Type: unknown
Pokemon: swinub, Type: unknown
Pokemon: piloswine, Type: unknown
Pokemon: corsola, Type: unknown
Pokemon: remoraid, Type: unknown
Pokemon: octillery, Type: unknown
Pokemon: delibird, Type: unknown
Pokemon: mantine, Type: unknown
Pokemon: skarmory, Type: unknown
Pokemon: houndour, Type: unknown
Pokemon: houndoom, Type: unknown
Pokemon: kingdra, Type: unknown
Pokemon: phanpy, Type: unknown
Pokemon: donphan, Type: unknown
Pokemon: porygon2, Type: unknown
Pokemon: stantler, Type: unknown
Pokemon: smeargle, Type: unknown
Pokemon: tyrogue, Type: unknown
Pokemon: hitmontop, Type: unknown
Pokemon: smoochum, Type: unknown
Pokemon: elekid, Type: unknown
Pokemon: magby, Type: unknown
Pokemon: miltank, Type: unknown
Pokemon: blissey, Type: unknown
Pokemon: raikou, Type: unknown
Pokemon: entei, Type: unknown
Pokemon: suicune, Type: unknown
Pokemon: larvitar, Type: unknown
Pokemon: pupitar, Type: unknown
Pokemon: tyranitar, Type: unknown
Pokemon: lugia, Type: unknown
Pokemon: ho-oh, Type: unknown
Pokemon: celebi, Type: unknown
Pokemon: treecko, Type: unknown
Pokemon: grovyle, Type: unknown
Pokemon: sceptile, Type: unknown
Pokemon: torchic, Type: unknown
Pokemon: combusken, Type: unknown
Pokemon: blaziken, Type: unknown
Pokemon: mudkip, Type: unknown
Pokemon: marshtomp, Type: unknown
Pokemon: swampert, Type: unknown
Pokemon: poochyena, Type: unknown
Pokemon: mightyena, Type: unknown
Pokemon: zigzagoon, Type: unknown
Pokemon: linoone, Type: unknown
Pokemon: wurmple, Type: unknown
Pokemon: silcoon, Type: unknown
Pokemon: beautifly, Type: unknown
Pokemon: cascoon, Type: unknown
Pokemon: dustox, Type: unknown
Pokemon: lotad, Type: unknown
Pokemon: lombre, Type: unknown
Pokemon: ludicolo, Type: unknown
Pokemon: seedot, Type: unknown
Pokemon: nuzleaf, Type: unknown
Pokemon: shiftry, Type: unknown
Pokemon: taillow, Type: unknown
Pokemon: swellow, Type: unknown
Pokemon: wingull, Type: unknown
Pokemon: pelipper, Type: unknown
Pokemon: ralts, Type: unknown
Pokemon: kirlia, Type: unknown
Pokemon: gardevoir, Type: unknown
Pokemon: surskit, Type: unknown
Pokemon: masquerain, Type: unknown
Pokemon: shroomish, Type: unknown
Pokemon: breloom, Type: unknown
Pokemon: slakoth, Type: unknown
Pokemon: vigoroth, Type: unknown
Pokemon: slaking, Type: unknown
Pokemon: nincada, Type: unknown
Pokemon: ninjask, Type: unknown
Pokemon: shedinja, Type: unknown
Pokemon: whismur, Type: unknown
Pokemon: loudred, Type: unknown
Pokemon: exploud, Type: unknown
Pokemon: makuhita, Type: unknown
Pokemon: hariyama, Type: unknown
Pokemon: azurill, Type: unknown
Pokemon: nosepass, Type: unknown
Pokemon: skitty, Type: unknown
Pokemon: delcatty, Type: unknown
Pokemon: sableye, Type: unknown
Pokemon: mawile, Type: unknown
Pokemon: aron, Type: unknown
Pokemon: lairon, Type: unknown
Pokemon: aggron, Type: unknown
Pokemon: meditite, Type: unknown
Pokemon: medicham, Type: unknown
Pokemon: electrike, Type: unknown
Pokemon: manectric, Type: unknown
Pokemon: plusle, Type: unknown
Pokemon: minun, Type: unknown
Pokemon: volbeat, Type: unknown
Pokemon: illumise, Type: unknown
Pokemon: roselia, Type: unknown
Pokemon: gulpin, Type: unknown
Pokemon: swalot, Type: unknown
Pokemon: carvanha, Type: unknown
Pokemon: sharpedo, Type: unknown
Pokemon: wailmer, Type: unknown
Pokemon: wailord, Type: unknown
Pokemon: numel, Type: unknown
Pokemon: camerupt, Type: unknown
Pokemon: torkoal, Type: unknown
Pokemon: spoink, Type: unknown
Pokemon: grumpig, Type: unknown
Pokemon: spinda, Type: unknown
Pokemon: trapinch, Type: unknown
Pokemon: vibrava, Type: unknown
Pokemon: flygon, Type: unknown
Pokemon: cacnea, Type: unknown
Pokemon: cacturne, Type: unknown
Pokemon: swablu, Type: unknown
Pokemon: altaria, Type: unknown
Pokemon: zangoose, Type: unknown
Pokemon: seviper, Type: unknown
Pokemon: lunatone, Type: unknown
Pokemon: solrock, Type: unknown
Pokemon: barboach, Type: unknown
Pokemon: whiscash, Type: unknown
Pokemon: corphish, Type: unknown
Pokemon: crawdaunt, Type: unknown
Pokemon: baltoy, Type: unknown
Pokemon: claydol, Type: unknown
Pokemon: lileep, Type: unknown
Pokemon: cradily, Type: unknown
Pokemon: anorith, Type: unknown
Pokemon: armaldo, Type: unknown
Pokemon: feebas, Type: unknown
Pokemon: milotic, Type: unknown
Pokemon: castform, Type: unknown
Pokemon: kecleon, Type: unknown
Pokemon: shuppet, Type: unknown
Pokemon: banette, Type: unknown
Pokemon: duskull, Type: unknown
Pokemon: dusclops, Type: unknown
Pokemon: tropius, Type: unknown
Pokemon: chimecho, Type: unknown
Pokemon: absol, Type: unknown
Pokemon: wynaut, Type: unknown
Pokemon: snorunt, Type: unknown
Pokemon: glalie, Type: unknown
Pokemon: spheal, Type: unknown
Pokemon: sealeo, Type: unknown
Pokemon: walrein, Type: unknown
Pokemon: clamperl, Type: unknown
Pokemon: huntail, Type: unknown
Pokemon: gorebyss, Type: unknown
Pokemon: relicanth, Type: unknown
Pokemon: luvdisc, Type: unknown
Pokemon: bagon, Type: unknown
Pokemon: shelgon, Type: unknown
Pokemon: salamence, Type: unknown
Pokemon: beldum, Type: unknown
Pokemon: metang, Type: unknown
Pokemon: metagross, Type: unknown
Pokemon: regirock, Type: unknown
Pokemon: regice, Type: unknown
Pokemon: registeel, Type: unknown
Pokemon: latias, Type: unknown
Pokemon: latios, Type: unknown
Pokemon: kyogre, Type: unknown
Pokemon: groudon, Type: unknown
Pokemon: rayquaza, Type: unknown
Pokemon: jirachi, Type: unknown
Pokemon: deoxys-normal, Type: unknown
Pokemon: turtwig, Type: unknown
Pokemon: grotle, Type: unknown
Pokemon: torterra, Type: unknown
Pokemon: chimchar, Type: unknown
Pokemon: monferno, Type: unknown
Pokemon: infernape, Type: unknown
Pokemon: piplup, Type: unknown
Pokemon: prinplup, Type: unknown
Pokemon: empoleon, Type: unknown
Pokemon: starly, Type: unknown
Pokemon: staravia, Type: unknown
Pokemon: staraptor, Type: unknown
Pokemon: bidoof, Type: unknown
Pokemon: bibarel, Type: unknown
Pokemon: kricketot, Type: unknown
Pokemon: kricketune, Type: unknown
Pokemon: shinx, Type: unknown
Pokemon: luxio, Type: unknown
Pokemon: luxray, Type: unknown
Pokemon: budew, Type: unknown
Pokemon: roserade, Type: unknown
Pokemon: cranidos, Type: unknown
Pokemon: rampardos, Type: unknown
Pokemon: shieldon, Type: unknown
Pokemon: bastiodon, Type: unknown
Pokemon: burmy, Type: unknown
Pokemon: wormadam-plant, Type: unknown
Pokemon: mothim, Type: unknown
Pokemon: combee, Type: unknown
Pokemon: vespiquen, Type: unknown
Pokemon: pachirisu, Type: unknown
Pokemon: buizel, Type: unknown
Pokemon: floatzel, Type: unknown
Pokemon: cherubi, Type: unknown
Pokemon: cherrim, Type: unknown
Pokemon: shellos, Type: unknown
Pokemon: gastrodon, Type: unknown
Pokemon: ambipom, Type: unknown
Pokemon: drifloon, Type: unknown
Pokemon: drifblim, Type: unknown
Pokemon: buneary, Type: unknown
Pokemon: lopunny, Type: unknown
Pokemon: mismagius, Type: unknown
Pokemon: honchkrow, Type: unknown
Pokemon: glameow, Type: unknown
Pokemon: purugly, Type: unknown
Pokemon: chingling, Type: unknown
Pokemon: stunky, Type: unknown
Pokemon: skuntank, Type: unknown
Pokemon: bronzor, Type: unknown
Pokemon: bronzong, Type: unknown
Pokemon: bonsly, Type: unknown
Pokemon: mime-jr, Type: unknown
Pokemon: happiny, Type: unknown
Pokemon: chatot, Type: unknown
Pokemon: spiritomb, Type: unknown
Pokemon: gible, Type: unknown
Pokemon: gabite, Type: unknown
Pokemon: garchomp, Type: unknown
Pokemon: munchlax, Type: unknown
Pokemon: riolu, Type: unknown
Pokemon: lucario, Type: unknown
Pokemon: hippopotas, Type: unknown
Pokemon: hippowdon, Type: unknown
Pokemon: skorupi, Type: unknown
Pokemon: drapion, Type: unknown
Pokemon: croagunk, Type: unknown
Pokemon: toxicroak, Type: unknown
Pokemon: carnivine, Type: unknown
Pokemon: finneon, Type: unknown
Pokemon: lumineon, Type: unknown
Pokemon: mantyke, Type: unknown
Pokemon: snover, Type: unknown
Pokemon: abomasnow, Type: unknown
Pokemon: weavile, Type: unknown
Pokemon: magnezone, Type: unknown
Pokemon: lickilicky, Type: unknown
Pokemon: rhyperior, Type: unknown
Pokemon: tangrowth, Type: unknown
Pokemon: electivire, Type: unknown
Pokemon: magmortar, Type: unknown
Pokemon: togekiss, Type: unknown
Pokemon: yanmega, Type: unknown
Pokemon: leafeon, Type: unknown
Pokemon: glaceon, Type: unknown
Pokemon: gliscor, Type: unknown
Pokemon: mamoswine, Type: unknown
Pokemon: porygon-z, Type: unknown
Pokemon: gallade, Type: unknown
Pokemon: probopass, Type: unknown
Pokemon: dusknoir, Type: unknown
Pokemon: froslass, Type: unknown
Pokemon: rotom, Type: unknown
Pokemon: uxie, Type: unknown
Pokemon: mesprit, Type: unknown
Pokemon: azelf, Type: unknown
Pokemon: dialga, Type: unknown
Pokemon: palkia, Type: unknown
Pokemon: heatran, Type: unknown
Pokemon: regigigas, Type: unknown
Pokemon: giratina-altered, Type: unknown
Pokemon: cresselia, Type: unknown
Pokemon: phione, Type: unknown
Pokemon: manaphy, Type: unknown
Pokemon: darkrai, Type: unknown
Pokemon: shaymin-land, Type: unknown
Pokemon: arceus, Type: unknown
Pokemon: victini, Type: unknown
Pokemon: snivy, Type: unknown
Pokemon: servine, Type: unknown
Pokemon: serperior, Type: unknown
Pokemon: tepig, Type: unknown
Pokemon: pignite, Type: unknown
Pokemon: emboar, Type: unknown
Pokemon: oshawott, Type: unknown
Pokemon: dewott, Type: unknown
Pokemon: samurott, Type: unknown
Pokemon: patrat, Type: unknown
Pokemon: watchog, Type: unknown
Pokemon: lillipup, Type: unknown
Pokemon: herdier, Type: unknown
Pokemon: stoutland, Type: unknown
Pokemon: purrloin, Type: unknown
Pokemon: liepard, Type: unknown
Pokemon: pansage, Type: unknown
Pokemon: simisage, Type: unknown
Pokemon: pansear, Type: unknown
Pokemon: simisear, Type: unknown
Pokemon: panpour, Type: unknown
Pokemon: simipour, Type: unknown
Pokemon: munna, Type: unknown
Pokemon: musharna, Type: unknown
Pokemon: pidove, Type: unknown
Pokemon: tranquill, Type: unknown
Pokemon: unfezant, Type: unknown
Pokemon: blitzle, Type: unknown
Pokemon: zebstrika, Type: unknown
Pokemon: roggenrola, Type: unknown
Pokemon: boldore, Type: unknown
Pokemon: gigalith, Type: unknown
Pokemon: woobat, Type: unknown
Pokemon: swoobat, Type: unknown
Pokemon: drilbur, Type: unknown
Pokemon: excadrill, Type: unknown
Pokemon: audino, Type: unknown
Pokemon: timburr, Type: unknown
Pokemon: gurdurr, Type: unknown
Pokemon: conkeldurr, Type: unknown
Pokemon: tympole, Type: unknown
Pokemon: palpitoad, Type: unknown
Pokemon: seismitoad, Type: unknown
Pokemon: throh, Type: unknown
Pokemon: sawk, Type: unknown
Pokemon: sewaddle, Type: unknown
Pokemon: swadloon, Type: unknown
Pokemon: leavanny, Type: unknown
Pokemon: venipede, Type: unknown
Pokemon: whirlipede, Type: unknown
Pokemon: scolipede, Type: unknown
Pokemon: cottonee, Type: unknown
Pokemon: whimsicott, Type: unknown
Pokemon: petilil, Type: unknown
Pokemon: lilligant, Type: unknown
Pokemon: basculin-red-striped, Type: unknown
Pokemon: sandile, Type: unknown
Pokemon: krokorok, Type: unknown
Pokemon: krookodile, Type: unknown
Pokemon: darumaka, Type: unknown
Pokemon: darmanitan-standard, Type: unknown
Pokemon: maractus, Type: unknown
Pokemon: dwebble, Type: unknown
Pokemon: crustle, Type: unknown
Pokemon: scraggy, Type: unknown
Pokemon: scrafty, Type: unknown
Pokemon: sigilyph, Type: unknown
Pokemon: yamask, Type: unknown
Pokemon: cofagrigus, Type: unknown
Pokemon: tirtouga, Type: unknown
Pokemon: carracosta, Type: unknown
Pokemon: archen, Type: unknown
Pokemon: archeops, Type: unknown
Pokemon: trubbish, Type: unknown
Pokemon: garbodor, Type: unknown
Pokemon: zorua, Type: unknown
Pokemon: zoroark, Type: unknown
Pokemon: minccino, Type: unknown
Pokemon: cinccino, Type: unknown
Pokemon: gothita, Type: unknown
Pokemon: gothorita, Type: unknown
Pokemon: gothitelle, Type: unknown
Pokemon: solosis, Type: unknown
Pokemon: duosion, Type: unknown
Pokemon: reuniclus, Type: unknown
Pokemon: ducklett, Type: unknown
Pokemon: swanna, Type: unknown
Pokemon: vanillite, Type: unknown
Pokemon: vanillish, Type: unknown
Pokemon: vanilluxe, Type: unknown
Pokemon: deerling, Type: unknown
Pokemon: sawsbuck, Type: unknown
Pokemon: emolga, Type: unknown
Pokemon: karrablast, Type: unknown
Pokemon: escavalier, Type: unknown
Pokemon: foongus, Type: unknown
Pokemon: amoonguss, Type: unknown
Pokemon: frillish, Type: unknown
Pokemon: jellicent, Type: unknown
Pokemon: alomomola, Type: unknown
Pokemon: joltik, Type: unknown
Pokemon: galvantula, Type: unknown
Pokemon: ferroseed, Type: unknown
Pokemon: ferrothorn, Type: unknown
Pokemon: klink, Type: unknown
Pokemon: klang, Type: unknown
Pokemon: klinklang, Type: unknown
Pokemon: tynamo, Type: unknown
Pokemon: eelektrik, Type: unknown
Pokemon: eelektross, Type: unknown
Pokemon: elgyem, Type: unknown
Pokemon: beheeyem, Type: unknown
Pokemon: litwick, Type: unknown
Pokemon: lampent, Type: unknown
Pokemon: chandelure, Type: unknown
Pokemon: axew, Type: unknown
Pokemon: fraxure, Type: unknown
Pokemon: haxorus, Type: unknown
Pokemon: cubchoo, Type: unknown
Pokemon: beartic, Type: unknown
Pokemon: cryogonal, Type: unknown
Pokemon: shelmet, Type: unknown
Pokemon: accelgor, Type: unknown
Pokemon: stunfisk, Type: unknown
Pokemon: mienfoo, Type: unknown
Pokemon: mienshao, Type: unknown
Pokemon: druddigon, Type: unknown
Pokemon: golett, Type: unknown
Pokemon: golurk, Type: unknown
Pokemon: pawniard, Type: unknown
Pokemon: bisharp, Type: unknown
Pokemon: bouffalant, Type: unknown
Pokemon: rufflet, Type: unknown
Pokemon: braviary, Type: unknown
Pokemon: vullaby, Type: unknown
Pokemon: mandibuzz, Type: unknown
Pokemon: heatmor, Type: unknown
Pokemon: durant, Type: unknown
Pokemon: deino, Type: unknown
Pokemon: zweilous, Type: unknown
Pokemon: hydreigon, Type: unknown
Pokemon: larvesta, Type: unknown
Pokemon: volcarona, Type: unknown
Pokemon: cobalion, Type: unknown
Pokemon: terrakion, Type: unknown
Pokemon: virizion, Type: unknown
Pokemon: tornadus-incarnate, Type: unknown
Pokemon: thundurus-incarnate, Type: unknown
Pokemon: reshiram, Type: unknown
Pokemon: zekrom, Type: unknown
Pokemon: landorus-incarnate, Type: unknown
Pokemon: kyurem, Type: unknown
Pokemon: keldeo-ordinary, Type: unknown
Pokemon: meloetta-aria, Type: unknown
Pokemon: genesect, Type: unknown
Pokemon: chespin, Type: unknown
Pokemon: quilladin, Type: unknown
Pokemon: chesnaught, Type: unknown
Pokemon: fennekin, Type: unknown
Pokemon: braixen, Type: unknown
Pokemon: delphox, Type: unknown
Pokemon: froakie, Type: unknown
Pokemon: frogadier, Type: unknown
Pokemon: greninja, Type: unknown
Pokemon: bunnelby, Type: unknown
Pokemon: diggersby, Type: unknown
Pokemon: fletchling, Type: unknown
Pokemon: fletchinder, Type: unknown
Pokemon: talonflame, Type: unknown
Pokemon: scatterbug, Type: unknown
Pokemon: spewpa, Type: unknown
Pokemon: vivillon, Type: unknown
Pokemon: litleo, Type: unknown
Pokemon: pyroar, Type: unknown
Pokemon: flabebe, Type: unknown
Pokemon: floette, Type: unknown
Pokemon: florges, Type: unknown
Pokemon: skiddo, Type: unknown
Pokemon: gogoat, Type: unknown
Pokemon: pancham, Type: unknown
Pokemon: pangoro, Type: unknown
Pokemon: furfrou, Type: unknown
Pokemon: espurr, Type: unknown
Pokemon: meowstic-male, Type: unknown
Pokemon: honedge, Type: unknown
Pokemon: doublade, Type: unknown
Pokemon: aegislash-shield, Type: unknown
Pokemon: spritzee, Type: unknown
Pokemon: aromatisse, Type: unknown
Pokemon: swirlix, Type: unknown
Pokemon: slurpuff, Type: unknown
Pokemon: inkay, Type: unknown
Pokemon: malamar, Type: unknown
Pokemon: binacle, Type: unknown
Pokemon: barbaracle, Type: unknown
Pokemon: skrelp, Type: unknown
Pokemon: dragalge, Type: unknown
Pokemon: clauncher, Type: unknown
Pokemon: clawitzer, Type: unknown
Pokemon: helioptile, Type: unknown
Pokemon: heliolisk, Type: unknown
Pokemon: tyrunt, Type: unknown
Pokemon: tyrantrum, Type: unknown
Pokemon: amaura, Type: unknown
Pokemon: aurorus, Type: unknown
Pokemon: sylveon, Type: unknown
Pokemon: hawlucha, Type: unknown
Pokemon: dedenne, Type: unknown
Pokemon: carbink, Type: unknown
Pokemon: goomy, Type: unknown
Pokemon: sliggoo, Type: unknown
Pokemon: goodra, Type: unknown
Pokemon: klefki, Type: unknown
Pokemon: phantump, Type: unknown
Pokemon: trevenant, Type: unknown
Pokemon: pumpkaboo-average, Type: unknown
Pokemon: gourgeist-average, Type: unknown
Pokemon: bergmite, Type: unknown
Pokemon: avalugg, Type: unknown
Pokemon: noibat, Type: unknown
Pokemon: noivern, Type: unknown
Pokemon: xerneas, Type: unknown
Pokemon: yveltal, Type: unknown
Pokemon: zygarde-50, Type: unknown
Pokemon: diancie, Type: unknown
Pokemon: hoopa, Type: unknown
Pokemon: volcanion, Type: unknown
Pokemon: rowlet, Type: unknown
Pokemon: dartrix, Type: unknown
Pokemon: decidueye, Type: unknown
Pokemon: litten, Type: unknown
Pokemon: torracat, Type: unknown
Pokemon: incineroar, Type: unknown
Pokemon: popplio, Type: unknown
Pokemon: brionne, Type: unknown
Pokemon: primarina, Type: unknown
Pokemon: pikipek, Type: unknown
Pokemon: trumbeak, Type: unknown
Pokemon: toucannon, Type: unknown
Pokemon: yungoos, Type: unknown
Pokemon: gumshoos, Type: unknown
Pokemon: grubbin, Type: unknown
Pokemon: charjabug, Type: unknown
Pokemon: vikavolt, Type: unknown
Pokemon: crabrawler, Type: unknown
Pokemon: crabominable, Type: unknown
Pokemon: oricorio-baile, Type: unknown
Pokemon: cutiefly, Type: unknown
Pokemon: ribombee, Type: unknown
Pokemon: rockruff, Type: unknown
Pokemon: lycanroc-midday, Type: unknown
Pokemon: wishiwashi-solo, Type: unknown
Pokemon: mareanie, Type: unknown
Pokemon: toxapex, Type: unknown
Pokemon: mudbray, Type: unknown
Pokemon: mudsdale, Type: unknown
Pokemon: dewpider, Type: unknown
Pokemon: araquanid, Type: unknown
Pokemon: fomantis, Type: unknown
Pokemon: lurantis, Type: unknown
Pokemon: morelull, Type: unknown
Pokemon: shiinotic, Type: unknown
Pokemon: salandit, Type: unknown
Pokemon: salazzle, Type: unknown
Pokemon: stufful, Type: unknown
Pokemon: bewear, Type: unknown
Pokemon: bounsweet, Type: unknown
Pokemon: steenee, Type: unknown
Pokemon: tsareena, Type: unknown
Pokemon: comfey, Type: unknown
Pokemon: oranguru, Type: unknown
Pokemon: passimian, Type: unknown
Pokemon: wimpod, Type: unknown
Pokemon: golisopod, Type: unknown
Pokemon: sandygast, Type: unknown
Pokemon: palossand, Type: unknown
Pokemon: pyukumuku, Type: unknown
Pokemon: type-null, Type: unknown
Pokemon: silvally, Type: unknown
Pokemon: minior-red-meteor, Type: unknown
Pokemon: komala, Type: unknown
Pokemon: turtonator, Type: unknown
Pokemon: togedemaru, Type: unknown
Pokemon: mimikyu-disguised, Type: unknown
Pokemon: bruxish, Type: unknown
Pokemon: drampa, Type: unknown
Pokemon: dhelmise, Type: unknown
Pokemon: jangmo-o, Type: unknown
Pokemon: hakamo-o, Type: unknown
Pokemon: kommo-o, Type: unknown
