id,identifier,species_id,height,weight,base_experience,order,is_default
46,paras,46,3,54,57.0,80.0,1.0
47,parasect,47,10,295,142.0,81.0,1.0
48,venonat,48,10,300,61.0,82.0,1.0
49,venomoth,49,15,125,158.0,83.0,1.0
50,diglett,50,2,8,53.0,84.0,1.0
51,dugtrio,51,7,333,149.0,86.0,1.0
52,meowth,52,4,42,58.0,88.0,1.0
53,persian,53,10,320,154.0,91.0,1.0
54,psyduck,54,8,196,64.0,93.0,1.0
55,golduck,55,17,766,175.0,94.0,1.0
56,mankey,56,5,280,61.0,95.0,1.0
57,primeape,57,10,320,159.0,96.0,1.0
58,growlithe,58,7,190,70.0,97.0,1.0
59,arcanine,59,19,1550,194.0,98.0,1.0
60,poliwag,60,6,124,60.0,99.0,1.0
61,poliwhirl,61,10,200,135.0,100.0,1.0
62,poliwrath,62,13,540,255.0,101.0,1.0
63,abra,63,9,195,62.0,103.0,1.0
64,kadabra,64,13,565,140.0,104.0,1.0
65,alakazam,65,15,480,250.0,105.0,1.0
66,machop,66,8,195,61.0,107.0,1.0
67,machoke,67,15,705,142.0,108.0,1.0
68,machamp,68,16,1300,253.0,109.0,1.0
69,bellsprout,69,7,40,60.0,110.0,1.0
70,weepinbell,70,10,64,137.0,111.0,1.0
71,victreebel,71,17,155,221.0,112.0,1.0
72,tentacool,72,9,455,67.0,113.0,1.0
73,tentacruel,73,16,550,180.0,114.0,1.0
74,geodude,74,4,200,60.0,115.0,1.0
75,graveler,75,10,1050,137.0,117.0,1.0
76,golem,76,14,3000,223.0,119.0,1.0
77,ponyta,77,10,300,82.0,121.0,1.0
78,rapidash,78,17,950,175.0,123.0,1.0
79,slowpoke,79,12,360,63.0,125.0,1.0
80,slowbro,80,16,785,172.0,127.0,1.0
81,magnemite,81,3,60,65.0,132.0,1.0
82,magneton,82,10,600,163.0,133.0,1.0
83,farfetchd,83,8,150,132.0,135.0,1.0
84,doduo,84,14,392,62.0,137.0,1.0
85,dodrio,85,18,852,165.0,138.0,1.0
86,seel,86,11,900,65.0,139.0,1.0
87,dewgong,87,17,1200,166.0,140.0,1.0
88,grimer,88,9,300,65.0,141.0,1.0
89,muk,89,12,300,175.0,143.0,1.0
90,shellder,90,3,40,61.0,145.0,1.0
91,cloyster,91,15,1325,184.0,146.0,1.0
92,gastly,92,13,1,62.0,147.0,1.0
93,haunter,93,16,1,142.0,148.0,1.0
94,gengar,94,15,405,250.0,149.0,1.0
95,onix,95,88,2100,77.0,151.0,1.0
96,drowzee,96,10,324,66.0,154.0,1.0
97,hypno,97,16,756,169.0,155.0,1.0
98,krabby,98,4,65,65.0,156.0,1.0
99,kingler,99,13,600,166.0,157.0,1.0
100,voltorb,100,5,104,66.0,158.0,1.0
101,electrode,101,12,666,172.0,159.0,1.0
102,exeggcute,102,4,25,65.0,160.0,1.0
103,exeggutor,103,20,1200,186.0,161.0,1.0
104,cubone,104,4,65,64.0,163.0,1.0
105,marowak,105,10,450,149.0,164.0,1.0
106,hitmonlee,106,15,498,159.0,168.0,1.0
107,hitmonchan,107,14,502,159.0,169.0,1.0
108,lickitung,108,12,655,77.0,171.0,1.0
109,koffing,109,6,10,68.0,173.0,1.0
110,weezing,110,12,95,172.0,174.0,1.0
111,rhyhorn,111,10,1150,69.0,176.0,1.0
112,rhydon,112,19,1200,170.0,177.0,1.0
113,chansey,113,11,346,395.0,180.0,1.0
114,tangela,114,10,350,87.0,182.0,1.0
115,kangaskhan,115,22,800,172.0,184.0,1.0
116,horsea,116,4,80,59.0,186.0,1.0
117,seadra,117,12,250,154.0,187.0,1.0
118,goldeen,118,6,150,64.0,189.0,1.0
119,seaking,119,13,390,158.0,190.0,1.0
120,staryu,120,8,345,68.0,191.0,1.0
121,starmie,121,11,800,182.0,192.0,1.0
122,mr-mime,122,13,545,161.0,194.0,1.0
123,scyther,123,15,560,100.0,196.0,1.0
124,jynx,124,14,406,159.0,200.0,1.0
125,electabuzz,125,11,300,172.0,202.0,1.0
126,magmar,126,13,445,173.0,205.0,1.0
127,pinsir,127,15,550,175.0,207.0,1.0
128,tauros,128,14,884,172.0,209.0,1.0
129,magikarp,129,9,100,40.0,210.0,1.0
130,gyarados,130,65,2350,189.0,211.0,1.0
131,lapras,131,25,2200,187.0,213.0,1.0
132,ditto,132,3,40,101.0,214.0,1.0
133,eevee,133,3,65,65.0,215.0,1.0
134,vaporeon,134,10,290,184.0,217.0,1.0
135,jolteon,135,8,245,184.0,218.0,1.0
136,flareon,136,9,250,184.0,219.0,1.0
137,porygon,137,8,365,79.0,225.0,1.0
138,omanyte,138,4,75,71.0,228.0,1.0
139,omastar,139,10,350,173.0,229.0,1.0
140,kabuto,140,5,115,71.0,230.0,1.0
141,kabutops,141,13,405,173.0,231.0,1.0
142,aerodactyl,142,18,590,180.0,232.0,1.0
143,snorlax,143,21,4600,189.0,235.0,1.0
144,articuno,144,17,554,290.0,236.0,1.0
145,zapdos,145,16,526,290.0,238.0,1.0
146,moltres,146,20,600,290.0,240.0,1.0
147,dratini,147,18,33,60.0,242.0,1.0
148,dragonair,148,40,165,147.0,243.0,1.0
149,dragonite,149,22,2100,300.0,244.0,1.0
150,mewtwo,150,20,1220,340.0,245.0,1.0
151,mew,151,4,40,300.0,248.0,1.0
152,chikorita,152,9,64,64.0,249.0,1.0
153,bayleef,153,12,158,142.0,250.0,1.0
154,meganium,154,18,1005,236.0,251.0,1.0
155,cyndaquil,155,5,79,62.0,252.0,1.0
156,quilava,156,9,190,142.0,253.0,1.0
157,typhlosion,157,17,795,240.0,254.0,1.0
158,totodile,158,6,95,63.0,255.0,1.0
159,croconaw,159,11,250,142.0,256.0,1.0
160,feraligatr,160,23,888,239.0,257.0,1.0
161,sentret,161,8,60,43.0,258.0,1.0
162,furret,162,18,325,145.0,259.0,1.0
163,hoothoot,163,7,212,52.0,260.0,1.0
164,noctowl,164,16,408,158.0,261.0,1.0
165,ledyba,165,10,108,53.0,262.0,1.0
166,ledian,166,14,356,137.0,263.0,1.0
167,spinarak,167,5,85,50.0,264.0,1.0
168,ariados,168,11,335,140.0,265.0,1.0
169,crobat,169,18,750,268.0,75.0,1.0
170,chinchou,170,5,120,66.0,266.0,1.0
171,lanturn,171,12,225,161.0,267.0,1.0
172,pichu,172,3,20,41.0,34.0,1.0
173,cleffa,173,3,30,44.0,63.0,1.0
174,igglybuff,174,3,10,42.0,70.0,1.0
175,togepi,175,3,15,49.0,268.0,1.0
176,togetic,176,6,32,142.0,269.0,1.0
177,natu,177,2,20,64.0,271.0,1.0
178,xatu,178,15,150,165.0,272.0,1.0
179,mareep,179,6,78,56.0,273.0,1.0
180,flaaffy,180,8,133,128.0,274.0,1.0
181,ampharos,181,14,615,230.0,275.0,1.0
182,bellossom,182,4,58,245.0,79.0,1.0
183,marill,183,4,85,88.0,278.0,1.0
184,azumarill,184,8,285,210.0,279.0,1.0
185,sudowoodo,185,12,380,144.0,281.0,1.0
186,politoed,186,11,339,250.0,102.0,1.0
187,hoppip,187,4,5,50.0,282.0,1.0
188,skiploom,188,6,10,119.0,283.0,1.0
189,jumpluff,189,8,30,207.0,284.0,1.0
190,aipom,190,8,115,72.0,285.0,1.0
191,sunkern,191,3,18,36.0,287.0,1.0
192,sunflora,192,8,85,149.0,288.0,1.0
193,yanma,193,12,380,78.0,289.0,1.0
194,wooper,194,4,85,42.0,291.0,1.0
195,quagsire,195,14,750,151.0,292.0,1.0
196,espeon,196,9,265,184.0,220.0,1.0
197,umbreon,197,10,270,184.0,221.0,1.0
198,murkrow,198,5,21,81.0,293.0,1.0
199,slowking,199,20,795,172.0,130.0,1.0
200,misdreavus,200,7,10,87.0,295.0,1.0
201,unown,201,5,50,118.0,297.0,1.0
202,wobbuffet,202,13,285,142.0,299.0,1.0
203,girafarig,203,15,415,159.0,300.0,1.0
204,pineco,204,6,72,58.0,301.0,1.0
205,forretress,205,12,1258,163.0,302.0,1.0
206,dunsparce,206,15,140,145.0,303.0,1.0
207,gligar,207,11,648,86.0,304.0,1.0
208,steelix,208,92,4000,179.0,152.0,1.0
209,snubbull,209,6,78,60.0,306.0,1.0
210,granbull,210,14,487,158.0,307.0,1.0
211,qwilfish,211,5,39,88.0,308.0,1.0
212,scizor,212,18,1180,175.0,197.0,1.0
213,shuckle,213,6,205,177.0,309.0,1.0
214,heracross,214,15,540,175.0,310.0,1.0
215,sneasel,215,9,280,86.0,312.0,1.0
216,teddiursa,216,6,88,66.0,314.0,1.0
217,ursaring,217,18,1258,175.0,315.0,1.0
218,slugma,218,7,350,50.0,316.0,1.0
219,magcargo,219,8,550,151.0,317.0,1.0
220,swinub,220,4,65,50.0,318.0,1.0
221,piloswine,221,11,558,158.0,319.0,1.0
222,corsola,222,6,50,144.0,321.0,1.0
223,remoraid,223,6,120,60.0,323.0,1.0
224,octillery,224,9,285,168.0,324.0,1.0
225,delibird,225,9,160,116.0,325.0,1.0
226,mantine,226,21,2200,170.0,327.0,1.0
227,skarmory,227,17,505,163.0,328.0,1.0
228,houndour,228,6,108,66.0,329.0,1.0
229,houndoom,229,14,350,175.0,330.0,1.0
230,kingdra,230,18,1520,270.0,188.0,1.0
231,phanpy,231,5,335,66.0,332.0,1.0
232,donphan,232,11,1200,175.0,333.0,1.0
233,porygon2,233,6,325,180.0,226.0,1.0
234,stantler,234,14,712,163.0,334.0,1.0
235,smeargle,235,12,580,88.0,335.0,1.0
236,tyrogue,236,7,210,42.0,167.0,1.0
237,hitmontop,237,14,480,159.0,170.0,1.0
238,smoochum,238,4,60,61.0,199.0,1.0
239,elekid,239,6,235,72.0,201.0,1.0
240,magby,240,7,214,73.0,204.0,1.0
241,miltank,241,12,755,172.0,336.0,1.0
242,blissey,242,15,468,635.0,181.0,1.0
243,raikou,243,19,1780,290.0,337.0,1.0
244,entei,244,21,1980,290.0,338.0,1.0
245,suicune,245,20,1870,290.0,339.0,1.0
246,larvitar,246,6,720,60.0,340.0,1.0
247,pupitar,247,12,1520,144.0,341.0,1.0
248,tyranitar,248,20,2020,300.0,342.0,1.0
249,lugia,249,52,2160,340.0,344.0,1.0
250,ho-oh,250,38,1990,340.0,345.0,1.0
251,celebi,251,6,50,300.0,346.0,1.0
252,treecko,252,5,50,62.0,347.0,1.0
253,grovyle,253,9,216,142.0,348.0,1.0
254,sceptile,254,17,522,265.0,349.0,1.0
255,torchic,255,4,25,62.0,351.0,1.0
256,combusken,256,9,195,142.0,352.0,1.0
257,blaziken,257,19,520,265.0,353.0,1.0
258,mudkip,258,4,76,62.0,355.0,1.0
259,marshtomp,259,7,280,142.0,356.0,1.0
260,swampert,260,15,819,268.0,357.0,1.0
261,poochyena,261,5,136,56.0,359.0,1.0
262,mightyena,262,10,370,147.0,360.0,1.0
263,zigzagoon,263,4,175,56.0,361.0,1.0
264,linoone,264,5,325,147.0,363.0,1.0
265,wurmple,265,3,36,56.0,365.0,1.0
266,silcoon,266,6,100,72.0,366.0,1.0
267,beautifly,267,10,284,178.0,367.0,1.0
268,cascoon,268,7,115,72.0,368.0,1.0
269,dustox,269,12,316,173.0,369.0,1.0
270,lotad,270,5,26,44.0,370.0,1.0
271,lombre,271,12,325,119.0,371.0,1.0
272,ludicolo,272,15,550,240.0,372.0,1.0
273,seedot,273,5,40,44.0,373.0,1.0
274,nuzleaf,274,10,280,119.0,374.0,1.0
275,shiftry,275,13,596,240.0,375.0,1.0
276,taillow,276,3,23,54.0,376.0,1.0
277,swellow,277,7,198,159.0,377.0,1.0
278,wingull,278,6,95,54.0,378.0,1.0
279,pelipper,279,12,280,154.0,379.0,1.0
280,ralts,280,4,66,40.0,380.0,1.0
281,kirlia,281,8,202,97.0,381.0,1.0
282,gardevoir,282,16,484,259.0,382.0,1.0
283,surskit,283,5,17,54.0,386.0,1.0
284,masquerain,284,8,36,159.0,387.0,1.0
285,shroomish,285,4,45,59.0,388.0,1.0
286,breloom,286,12,392,161.0,389.0,1.0
287,slakoth,287,8,240,56.0,390.0,1.0
288,vigoroth,288,14,465,154.0,391.0,1.0
289,slaking,289,20,1305,252.0,392.0,1.0
290,nincada,290,5,55,53.0,393.0,1.0
291,ninjask,291,8,120,160.0,394.0,1.0
292,shedinja,292,8,12,83.0,395.0,1.0
293,whismur,293,6,163,48.0,396.0,1.0
294,loudred,294,10,405,126.0,397.0,1.0
295,exploud,295,15,840,245.0,398.0,1.0
296,makuhita,296,10,864,47.0,399.0,1.0
297,hariyama,297,23,2538,166.0,400.0,1.0
298,azurill,298,2,20,38.0,277.0,1.0
299,nosepass,299,10,970,75.0,401.0,1.0
300,skitty,300,6,110,52.0,403.0,1.0
301,delcatty,301,11,326,140.0,404.0,1.0
302,sableye,302,5,110,133.0,405.0,1.0
303,mawile,303,6,115,133.0,407.0,1.0
304,aron,304,4,600,66.0,409.0,1.0
305,lairon,305,9,1200,151.0,410.0,1.0
306,aggron,306,21,3600,265.0,411.0,1.0
307,meditite,307,6,112,56.0,413.0,1.0
308,medicham,308,13,315,144.0,414.0,1.0
309,electrike,309,6,152,59.0,416.0,1.0
310,manectric,310,15,402,166.0,417.0,1.0
311,plusle,311,4,42,142.0,419.0,1.0
312,minun,312,4,42,142.0,420.0,1.0
313,volbeat,313,7,177,151.0,421.0,1.0
314,illumise,314,6,177,151.0,422.0,1.0
315,roselia,315,3,20,140.0,424.0,1.0
316,gulpin,316,4,103,60.0,426.0,1.0
317,swalot,317,17,800,163.0,427.0,1.0
318,carvanha,318,8,208,61.0,428.0,1.0
319,sharpedo,319,18,888,161.0,429.0,1.0
320,wailmer,320,20,1300,80.0,431.0,1.0
321,wailord,321,145,3980,175.0,432.0,1.0
322,numel,322,7,240,61.0,433.0,1.0
323,camerupt,323,19,2200,161.0,434.0,1.0
324,torkoal,324,5,804,165.0,436.0,1.0
325,spoink,325,7,306,66.0,437.0,1.0
326,grumpig,326,9,715,165.0,438.0,1.0
327,spinda,327,11,50,126.0,439.0,1.0
328,trapinch,328,7,150,58.0,440.0,1.0
329,vibrava,329,11,153,119.0,441.0,1.0
330,flygon,330,20,820,260.0,442.0,1.0
331,cacnea,331,4,513,67.0,443.0,1.0
332,cacturne,332,13,774,166.0,444.0,1.0
333,swablu,333,4,12,62.0,445.0,1.0
334,altaria,334,11,206,172.0,446.0,1.0
335,zangoose,335,13,403,160.0,448.0,1.0
336,seviper,336,27,525,160.0,449.0,1.0
337,lunatone,337,10,1680,161.0,450.0,1.0
338,solrock,338,12,1540,161.0,451.0,1.0
339,barboach,339,4,19,58.0,452.0,1.0
340,whiscash,340,9,236,164.0,453.0,1.0
341,corphish,341,6,115,62.0,454.0,1.0
342,crawdaunt,342,11,328,164.0,455.0,1.0
343,baltoy,343,5,215,60.0,456.0,1.0
344,claydol,344,15,1080,175.0,457.0,1.0
345,lileep,345,10,238,71.0,458.0,1.0
346,cradily,346,15,604,173.0,459.0,1.0
347,anorith,347,7,125,71.0,460.0,1.0
348,armaldo,348,15,682,173.0,461.0,1.0
349,feebas,349,6,74,40.0,462.0,1.0
350,milotic,350,62,1620,189.0,463.0,1.0
351,castform,351,3,8,147.0,464.0,1.0
352,kecleon,352,10,220,154.0,468.0,1.0
353,shuppet,353,6,23,59.0,469.0,1.0
354,banette,354,11,125,159.0,470.0,1.0
355,duskull,355,8,150,59.0,472.0,1.0
356,dusclops,356,16,306,159.0,473.0,1.0
357,tropius,357,20,1000,161.0,475.0,1.0
358,chimecho,358,6,10,159.0,477.0,1.0
359,absol,359,12,470,163.0,478.0,1.0
360,wynaut,360,6,140,52.0,298.0,1.0
361,snorunt,361,7,168,60.0,480.0,1.0
362,glalie,362,15,2565,168.0,481.0,1.0
363,spheal,363,8,395,58.0,484.0,1.0
364,sealeo,364,11,876,144.0,485.0,1.0
365,walrein,365,14,1506,265.0,486.0,1.0
366,clamperl,366,4,525,69.0,487.0,1.0
367,huntail,367,17,270,170.0,488.0,1.0
368,gorebyss,368,18,226,170.0,489.0,1.0
369,relicanth,369,10,234,170.0,490.0,1.0
370,luvdisc,370,6,87,116.0,491.0,1.0
371,bagon,371,6,421,60.0,492.0,1.0
372,shelgon,372,11,1105,147.0,493.0,1.0
373,salamence,373,15,1026,300.0,494.0,1.0
374,beldum,374,6,952,60.0,496.0,1.0
375,metang,375,12,2025,147.0,497.0,1.0
376,metagross,376,16,5500,300.0,498.0,1.0
377,regirock,377,17,2300,290.0,500.0,1.0
378,regice,378,18,1750,290.0,501.0,1.0
379,registeel,379,19,2050,290.0,502.0,1.0
380,latias,380,14,400,300.0,503.0,1.0
381,latios,381,20,600,300.0,505.0,1.0
382,kyogre,382,45,3520,335.0,507.0,1.0
383,groudon,383,35,9500,335.0,509.0,1.0
384,rayquaza,384,70,2065,340.0,511.0,1.0
385,jirachi,385,3,11,300.0,513.0,1.0
386,deoxys-normal,386,17,608,270.0,514.0,1.0
387,turtwig,387,4,102,64.0,518.0,1.0
388,grotle,388,11,970,142.0,519.0,1.0
389,torterra,389,22,3100,236.0,520.0,1.0
390,chimchar,390,5,62,62.0,521.0,1.0
391,monferno,391,9,220,142.0,522.0,1.0
392,infernape,392,12,550,240.0,523.0,1.0
393,piplup,393,4,52,63.0,524.0,1.0
394,prinplup,394,8,230,142.0,525.0,1.0
395,empoleon,395,17,845,239.0,526.0,1.0
396,starly,396,3,20,49.0,527.0,1.0
397,staravia,397,6,155,119.0,528.0,1.0
398,staraptor,398,12,249,218.0,529.0,1.0
399,bidoof,399,5,200,50.0,530.0,1.0
400,bibarel,400,10,315,144.0,531.0,1.0
401,kricketot,401,3,22,39.0,532.0,1.0
402,kricketune,402,10,255,134.0,533.0,1.0
403,shinx,403,5,95,53.0,534.0,1.0
404,luxio,404,9,305,127.0,535.0,1.0
405,luxray,405,14,420,262.0,536.0,1.0
406,budew,406,2,12,56.0,423.0,1.0
407,roserade,407,9,145,258.0,425.0,1.0
408,cranidos,408,9,315,70.0,537.0,1.0
409,rampardos,409,16,1025,173.0,538.0,1.0
410,shieldon,410,5,570,70.0,539.0,1.0
411,bastiodon,411,13,1495,173.0,540.0,1.0
412,burmy,412,2,34,45.0,541.0,1.0
413,wormadam-plant,413,5,65,148.0,542.0,1.0
414,mothim,414,9,233,148.0,545.0,1.0
415,combee,415,3,55,49.0,546.0,1.0
416,vespiquen,416,12,385,166.0,547.0,1.0
417,pachirisu,417,4,39,142.0,548.0,1.0
418,buizel,418,7,295,66.0,549.0,1.0
419,floatzel,419,11,335,173.0,550.0,1.0
420,cherubi,420,4,33,55.0,551.0,1.0
421,cherrim,421,5,93,158.0,552.0,1.0
422,shellos,422,3,63,65.0,553.0,1.0
423,gastrodon,423,9,299,166.0,554.0,1.0
424,ambipom,424,12,203,169.0,286.0,1.0
425,drifloon,425,4,12,70.0,555.0,1.0
426,drifblim,426,12,150,174.0,556.0,1.0
427,buneary,427,4,55,70.0,557.0,1.0
428,lopunny,428,12,333,168.0,558.0,1.0
429,mismagius,429,9,44,173.0,296.0,1.0
430,honchkrow,430,9,273,177.0,294.0,1.0
431,glameow,431,5,39,62.0,560.0,1.0
432,purugly,432,10,438,158.0,561.0,1.0
433,chingling,433,2,6,57.0,476.0,1.0
434,stunky,434,4,192,66.0,562.0,1.0
435,skuntank,435,10,380,168.0,563.0,1.0
436,bronzor,436,5,605,60.0,564.0,1.0
437,bronzong,437,13,1870,175.0,565.0,1.0
438,bonsly,438,5,150,58.0,280.0,1.0
439,mime-jr,439,6,130,62.0,193.0,1.0
440,happiny,440,6,244,110.0,179.0,1.0
441,chatot,441,5,19,144.0,566.0,1.0
442,spiritomb,442,10,1080,170.0,567.0,1.0
443,gible,443,7,205,60.0,568.0,1.0
444,gabite,444,14,560,144.0,569.0,1.0
445,garchomp,445,19,950,300.0,570.0,1.0
446,munchlax,446,6,1050,78.0,234.0,1.0
447,riolu,447,7,202,57.0,572.0,1.0
448,lucario,448,12,540,184.0,573.0,1.0
449,hippopotas,449,8,495,66.0,575.0,1.0
450,hippowdon,450,20,3000,184.0,576.0,1.0
451,skorupi,451,8,120,66.0,577.0,1.0
452,drapion,452,13,615,175.0,578.0,1.0
453,croagunk,453,7,230,60.0,579.0,1.0
454,toxicroak,454,13,444,172.0,580.0,1.0
455,carnivine,455,14,270,159.0,581.0,1.0
456,finneon,456,4,70,66.0,582.0,1.0
457,lumineon,457,12,240,161.0,583.0,1.0
458,mantyke,458,10,650,69.0,326.0,1.0
459,snover,459,10,505,67.0,584.0,1.0
460,abomasnow,460,22,1355,173.0,585.0,1.0
461,weavile,461,11,340,179.0,313.0,1.0
462,magnezone,462,12,1800,268.0,134.0,1.0
463,lickilicky,463,17,1400,180.0,172.0,1.0
464,rhyperior,464,24,2828,268.0,178.0,1.0
465,tangrowth,465,20,1286,187.0,183.0,1.0
466,electivire,466,18,1386,270.0,203.0,1.0
467,magmortar,467,16,680,270.0,206.0,1.0
468,togekiss,468,15,380,273.0,270.0,1.0
469,yanmega,469,19,515,180.0,290.0,1.0
470,leafeon,470,10,255,184.0,222.0,1.0
471,glaceon,471,8,259,184.0,223.0,1.0
472,gliscor,472,20,425,179.0,305.0,1.0
473,mamoswine,473,25,2910,265.0,320.0,1.0
474,porygon-z,474,9,340,268.0,227.0,1.0
475,gallade,475,16,520,259.0,384.0,1.0
476,probopass,476,14,3400,184.0,402.0,1.0
477,dusknoir,477,22,1066,263.0,474.0,1.0
478,froslass,478,13,266,168.0,483.0,1.0
479,rotom,479,3,3,154.0,587.0,1.0
480,uxie,480,3,3,290.0,593.0,1.0
481,mesprit,481,3,3,290.0,594.0,1.0
482,azelf,482,3,3,290.0,595.0,1.0
483,dialga,483,54,6830,340.0,596.0,1.0
484,palkia,484,42,3360,340.0,597.0,1.0
485,heatran,485,17,4300,300.0,598.0,1.0
486,regigigas,486,37,4200,335.0,599.0,1.0
487,giratina-altered,487,45,7500,340.0,600.0,1.0
488,cresselia,488,15,856,300.0,602.0,1.0
489,phione,489,4,31,216.0,603.0,1.0
490,manaphy,490,3,14,270.0,604.0,1.0
491,darkrai,491,15,505,270.0,605.0,1.0
492,shaymin-land,492,2,21,270.0,606.0,1.0
493,arceus,493,32,3200,324.0,608.0,1.0
494,victini,494,4,40,300.0,609.0,1.0
495,snivy,495,6,81,62.0,610.0,1.0
496,servine,496,8,160,145.0,611.0,1.0
497,serperior,497,33,630,238.0,612.0,1.0
498,tepig,498,5,99,62.0,613.0,1.0
499,pignite,499,10,555,146.0,614.0,1.0
500,emboar,500,16,1500,238.0,615.0,1.0
501,oshawott,501,5,59,62.0,616.0,1.0
502,dewott,502,8,245,145.0,617.0,1.0
503,samurott,503,15,946,238.0,618.0,1.0
504,patrat,504,5,116,51.0,619.0,1.0
505,watchog,505,11,270,147.0,620.0,1.0
506,lillipup,506,4,41,55.0,621.0,1.0
507,herdier,507,9,147,130.0,622.0,1.0
508,stoutland,508,12,610,250.0,623.0,1.0
509,purrloin,509,4,101,56.0,624.0,1.0
510,liepard,510,11,375,156.0,625.0,1.0
511,pansage,511,6,105,63.0,626.0,1.0
512,simisage,512,11,305,174.0,627.0,1.0
513,pansear,513,6,110,63.0,628.0,1.0
514,simisear,514,10,280,174.0,629.0,1.0
515,panpour,515,6,135,63.0,630.0,1.0
516,simipour,516,10,290,174.0,631.0,1.0
517,munna,517,6,233,58.0,632.0,1.0
518,musharna,518,11,605,170.0,633.0,1.0
519,pidove,519,3,21,53.0,634.0,1.0
520,tranquill,520,6,150,125.0,635.0,1.0
521,unfezant,521,12,290,244.0,636.0,1.0
522,blitzle,522,8,298,59.0,637.0,1.0
523,zebstrika,523,16,795,174.0,638.0,1.0
524,roggenrola,524,4,180,56.0,639.0,1.0
525,boldore,525,9,1020,137.0,640.0,1.0
526,gigalith,526,17,2600,258.0,641.0,1.0
527,woobat,527,4,21,65.0,642.0,1.0
528,swoobat,528,9,105,149.0,643.0,1.0
529,drilbur,529,3,85,66.0,644.0,1.0
530,excadrill,530,7,404,178.0,645.0,1.0
531,audino,531,11,310,390.0,646.0,1.0
532,timburr,532,6,125,61.0,648.0,1.0
533,gurdurr,533,12,400,142.0,649.0,1.0
534,conkeldurr,534,14,870,253.0,650.0,1.0
535,tympole,535,5,45,59.0,651.0,1.0
536,palpitoad,536,8,170,134.0,652.0,1.0
537,seismitoad,537,15,620,255.0,653.0,1.0
538,throh,538,13,555,163.0,654.0,1.0
539,sawk,539,14,510,163.0,655.0,1.0
540,sewaddle,540,3,25,62.0,656.0,1.0
541,swadloon,541,5,73,133.0,657.0,1.0
542,leavanny,542,12,205,225.0,658.0,1.0
543,venipede,543,4,53,52.0,659.0,1.0
544,whirlipede,544,12,585,126.0,660.0,1.0
545,scolipede,545,25,2005,243.0,661.0,1.0
546,cottonee,546,3,6,56.0,662.0,1.0
547,whimsicott,547,7,66,168.0,663.0,1.0
548,petilil,548,5,66,56.0,664.0,1.0
549,lilligant,549,11,163,168.0,665.0,1.0
550,basculin-red-striped,550,10,180,161.0,666.0,1.0
551,sandile,551,7,152,58.0,668.0,1.0
552,krokorok,552,10,334,123.0,669.0,1.0
553,krookodile,553,15,963,260.0,670.0,1.0
554,darumaka,554,6,375,63.0,671.0,1.0
555,darmanitan-standard,555,13,929,168.0,673.0,1.0
556,maractus,556,10,280,161.0,677.0,1.0
557,dwebble,557,3,145,65.0,678.0,1.0
558,crustle,558,14,2000,170.0,679.0,1.0
559,scraggy,559,6,118,70.0,680.0,1.0
560,scrafty,560,11,300,171.0,681.0,1.0
561,sigilyph,561,14,140,172.0,682.0,1.0
562,yamask,562,5,15,61.0,683.0,1.0
