id,identifier,species_id,height,weight,base_experience,order,is_default
59,Arcanine,59,19,1550,194,98.0,1
60,Poliwag,60,6,124,60,99.0,1
61,Poliwhirl,61,10,200,135,100.0,1
62,Poliwrath,62,13,540,255,101.0,1
63,Abra,63,9,195,62,103.0,1
64,Kadabra,64,13,565,140,104.0,1
65,Alakazam,65,15,480,250,105.0,1
66,Machop,66,8,195,61,107.0,1
67,Machoke,67,15,705,142,108.0,1
68,Machamp,68,16,1300,253,109.0,1
69,Bellsprout,69,7,40,60,110.0,1
70,Weepinbell,70,10,64,137,111.0,1
71,Victreebel,71,17,155,221,112.0,1
72,Tentacool,72,9,455,67,113.0,1
73,Tentacruel,73,16,550,180,114.0,1
74,Geodude,74,4,200,60,115.0,1
75,Graveler,75,10,1050,137,117.0,1
76,Golem,76,14,3000,223,119.0,1
77,Ponyta,77,10,300,82,121.0,1
78,Rapidash,78,17,950,175,123.0,1
79,Slowpoke,79,12,360,63,125.0,1
80,Slowbro,80,16,785,172,127.0,1
81,Magnemite,81,3,60,65,132.0,1
82,Magneton,82,10,600,163,133.0,1
83,Farfetchd,83,8,150,132,135.0,1
84,Doduo,84,14,392,62,137.0,1
85,Dodrio,85,18,852,165,138.0,1
86,Seel,86,11,900,65,139.0,1
87,Dewgong,87,17,1200,166,140.0,1
88,Grimer,88,9,300,65,141.0,1
89,Muk,89,12,300,175,143.0,1
90,Shellder,90,3,40,61,145.0,1
91,Cloyster,91,15,1325,184,146.0,1
92,Gastly,92,13,1,62,147.0,1
93,Haunter,93,16,1,142,148.0,1
94,Gengar,94,15,405,250,149.0,1
95,Onix,95,88,2100,77,151.0,1
96,Drowzee,96,10,324,66,154.0,1
97,Hypno,97,16,756,169,155.0,1
98,Krabby,98,4,65,65,156.0,1
99,Kingler,99,13,600,166,157.0,1
100,Voltorb,100,5,104,66,158.0,1
101,Electrode,101,12,666,172,159.0,1
102,Exeggcute,102,4,25,65,160.0,1
103,Exeggutor,103,20,1200,186,161.0,1
104,Cubone,104,4,65,64,163.0,1
105,Marowak,105,10,450,149,164.0,1
106,Hitmonlee,106,15,498,159,168.0,1
107,Hitmonchan,107,14,502,159,169.0,1
108,Lickitung,108,12,655,77,171.0,1
109,Koffing,109,6,10,68,173.0,1
110,Weezing,110,12,95,172,174.0,1
111,Rhyhorn,111,10,1150,69,176.0,1
112,Rhydon,112,19,1200,170,177.0,1
113,Chansey,113,11,346,395,180.0,1
114,Tangela,114,10,350,87,182.0,1
115,Kangaskhan,115,22,800,172,184.0,1
116,Horsea,116,4,80,59,186.0,1
117,Seadra,117,12,250,154,187.0,1
118,Goldeen,118,6,150,64,189.0,1
119,Seaking,119,13,390,158,190.0,1
120,Staryu,120,8,345,68,191.0,1
121,Starmie,121,11,800,182,192.0,1
122,Mr Mime,122,13,545,161,194.0,1
123,Scyther,123,15,560,100,196.0,1
124,Jynx,124,14,406,159,200.0,1
125,Electabuzz,125,11,300,172,202.0,1
126,Magmar,126,13,445,173,205.0,1
127,Pinsir,127,15,550,175,207.0,1
128,Tauros,128,14,884,172,209.0,1
129,Magikarp,129,9,100,40,210.0,1
130,Gyarados,130,65,2350,189,211.0,1
131,Lapras,131,25,2200,187,213.0,1
132,Ditto,132,3,40,101,214.0,1
133,Eevee,133,3,65,65,215.0,1
134,Vaporeon,134,10,290,184,217.0,1
135,Jolteon,135,8,245,184,218.0,1
136,Flareon,136,9,250,184,219.0,1
137,Porygon,137,8,365,79,225.0,1
138,Omanyte,138,4,75,71,228.0,1
139,Omastar,139,10,350,173,229.0,1
140,Kabuto,140,5,115,71,230.0,1
141,Kabutops,141,13,405,173,231.0,1
142,Aerodactyl,142,18,590,180,232.0,1
143,Snorlax,143,21,4600,189,235.0,1
144,Articuno,144,17,554,290,236.0,1
145,Zapdos,145,16,526,290,238.0,1
146,Moltres,146,20,600,290,240.0,1
147,Dratini,147,18,33,60,242.0,1
148,Dragonair,148,40,165,147,243.0,1
149,Dragonite,149,22,2100,300,244.0,1
150,Mewtwo,150,20,1220,340,245.0,1
151,Mew,151,4,40,300,248.0,1
152,Chikorita,152,9,64,64,249.0,1
153,Bayleef,153,12,158,142,250.0,1
154,Meganium,154,18,1005,236,251.0,1
155,Cyndaquil,155,5,79,62,252.0,1
156,Quilava,156,9,190,142,253.0,1
157,Typhlosion,157,17,795,240,254.0,1
158,Totodile,158,6,95,63,255.0,1
159,Croconaw,159,11,250,142,256.0,1
160,Feraligatr,160,23,888,239,257.0,1
161,Sentret,161,8,60,43,258.0,1
162,Furret,162,18,325,145,259.0,1
163,Hoothoot,163,7,212,52,260.0,1
164,Noctowl,164,16,408,158,261.0,1
165,Ledyba,165,10,108,53,262.0,1
166,Ledian,166,14,356,137,263.0,1
167,Spinarak,167,5,85,50,264.0,1
168,Ariados,168,11,335,140,265.0,1
169,Crobat,169,18,750,268,75.0,1
170,Chinchou,170,5,120,66,266.0,1
171,Lanturn,171,12,225,161,267.0,1
172,Pichu,172,3,20,41,34.0,1
173,Cleffa,173,3,30,44,63.0,1
174,Igglybuff,174,3,10,42,70.0,1
175,Togepi,175,3,15,49,268.0,1
176,Togetic,176,6,32,142,269.0,1
177,Natu,177,2,20,64,271.0,1
178,Xatu,178,15,150,165,272.0,1
179,Mareep,179,6,78,56,273.0,1
180,Flaaffy,180,8,133,128,274.0,1
181,Ampharos,181,14,615,230,275.0,1
182,Bellossom,182,4,58,245,79.0,1
183,Marill,183,4,85,88,278.0,1
184,Azumarill,184,8,285,210,279.0,1
185,Sudowoodo,185,12,380,144,281.0,1
186,Politoed,186,11,339,250,102.0,1
187,Hoppip,187,4,5,50,282.0,1
188,Skiploom,188,6,10,119,283.0,1
189,Jumpluff,189,8,30,207,284.0,1
190,Aipom,190,8,115,72,285.0,1
191,Sunkern,191,3,18,36,287.0,1
192,Sunflora,192,8,85,149,288.0,1
193,Yanma,193,12,380,78,289.0,1
194,Wooper,194,4,85,42,291.0,1
195,Quagsire,195,14,750,151,292.0,1
196,Espeon,196,9,265,184,220.0,1
197,Umbreon,197,10,270,184,221.0,1
198,Murkrow,198,5,21,81,293.0,1
199,Slowking,199,20,795,172,130.0,1
200,Misdreavus,200,7,10,87,295.0,1
201,Unown,201,5,50,118,297.0,1
202,Wobbuffet,202,13,285,142,299.0,1
203,Girafarig,203,15,415,159,300.0,1
204,Pineco,204,6,72,58,301.0,1
205,Forretress,205,12,1258,163,302.0,1
206,Dunsparce,206,15,140,145,303.0,1
207,Gligar,207,11,648,86,304.0,1
208,Steelix,208,92,4000,179,152.0,1
209,Snubbull,209,6,78,60,306.0,1
210,Granbull,210,14,487,158,307.0,1
211,Qwilfish,211,5,39,88,308.0,1
212,Scizor,212,18,1180,175,197.0,1
213,Shuckle,213,6,205,177,309.0,1
214,Heracross,214,15,540,175,310.0,1
215,Sneasel,215,9,280,86,312.0,1
216,Teddiursa,216,6,88,66,314.0,1
217,Ursaring,217,18,1258,175,315.0,1
218,Slugma,218,7,350,50,316.0,1
219,Magcargo,219,8,550,151,317.0,1
220,Swinub,220,4,65,50,318.0,1
221,Piloswine,221,11,558,158,319.0,1
222,Corsola,222,6,50,144,321.0,1
223,Remoraid,223,6,120,60,323.0,1
224,Octillery,224,9,285,168,324.0,1
225,Delibird,225,9,160,116,325.0,1
226,Mantine,226,21,2200,170,327.0,1
227,Skarmory,227,17,505,163,328.0,1
228,Houndour,228,6,108,66,329.0,1
229,Houndoom,229,14,350,175,330.0,1
230,Kingdra,230,18,1520,270,188.0,1
231,Phanpy,231,5,335,66,332.0,1
232,Donphan,232,11,1200,175,333.0,1
233,Porygon2,233,6,325,180,226.0,1
234,Stantler,234,14,712,163,334.0,1
235,Smeargle,235,12,580,88,335.0,1
236,Tyrogue,236,7,210,42,167.0,1
237,Hitmontop,237,14,480,159,170.0,1
238,Smoochum,238,4,60,61,199.0,1
239,Elekid,239,6,235,72,201.0,1
240,Magby,240,7,214,73,204.0,1
241,Miltank,241,12,755,172,336.0,1
242,Blissey,242,15,468,635,181.0,1
243,Raikou,243,19,1780,290,337.0,1
244,Entei,244,21,1980,290,338.0,1
245,Suicune,245,20,1870,290,339.0,1
246,Larvitar,246,6,720,60,340.0,1
247,Pupitar,247,12,1520,144,341.0,1
248,Tyranitar,248,20,2020,300,342.0,1
249,Lugia,249,52,2160,340,344.0,1
250,Ho Oh,250,38,1990,340,345.0,1
251,Celebi,251,6,50,300,346.0,1
252,Treecko,252,5,50,62,347.0,1
253,Grovyle,253,9,216,142,348.0,1
254,Sceptile,254,17,522,265,349.0,1
255,Torchic,255,4,25,62,351.0,1
256,Combusken,256,9,195,142,352.0,1
257,Blaziken,257,19,520,265,353.0,1
258,Mudkip,258,4,76,62,355.0,1
259,Marshtomp,259,7,280,142,356.0,1
260,Swampert,260,15,819,268,357.0,1
261,Poochyena,261,5,136,56,359.0,1
262,Mightyena,262,10,370,147,360.0,1
263,Zigzagoon,263,4,175,56,361.0,1
264,Linoone,264,5,325,147,363.0,1
265,Wurmple,265,3,36,56,365.0,1
266,Silcoon,266,6,100,72,366.0,1
267,Beautifly,267,10,284,178,367.0,1
268,Cascoon,268,7,115,72,368.0,1
269,Dustox,269,12,316,173,369.0,1
270,Lotad,270,5,26,44,370.0,1
271,Lombre,271,12,325,119,371.0,1
272,Ludicolo,272,15,550,240,372.0,1
273,Seedot,273,5,40,44,373.0,1
274,Nuzleaf,274,10,280,119,374.0,1
275,Shiftry,275,13,596,240,375.0,1
276,Taillow,276,3,23,54,376.0,1
277,Swellow,277,7,198,159,377.0,1
278,Wingull,278,6,95,54,378.0,1
279,Pelipper,279,12,280,154,379.0,1
280,Ralts,280,4,66,40,380.0,1
281,Kirlia,281,8,202,97,381.0,1
282,Gardevoir,282,16,484,259,382.0,1
283,Surskit,283,5,17,54,386.0,1
284,Masquerain,284,8,36,159,387.0,1
285,Shroomish,285,4,45,59,388.0,1
286,Breloom,286,12,392,161,389.0,1
287,Slakoth,287,8,240,56,390.0,1
288,Vigoroth,288,14,465,154,391.0,1
289,Slaking,289,20,1305,252,392.0,1
290,Nincada,290,5,55,53,393.0,1
291,Ninjask,291,8,120,160,394.0,1
292,Shedinja,292,8,12,83,395.0,1
293,Whismur,293,6,163,48,396.0,1
294,Loudred,294,10,405,126,397.0,1
295,Exploud,295,15,840,245,398.0,1
296,Makuhita,296,10,864,47,399.0,1
297,Hariyama,297,23,2538,166,400.0,1
298,Azurill,298,2,20,38,277.0,1
299,Nosepass,299,10,970,75,401.0,1
300,Skitty,300,6,110,52,403.0,1
301,Delcatty,301,11,326,140,404.0,1
302,Sableye,302,5,110,133,405.0,1
303,Mawile,303,6,115,133,407.0,1
304,Aron,304,4,600,66,409.0,1
305,Lairon,305,9,1200,151,410.0,1
306,Aggron,306,21,3600,265,411.0,1
307,Meditite,307,6,112,56,413.0,1
308,Medicham,308,13,315,144,414.0,1
309,Electrike,309,6,152,59,416.0,1
310,Manectric,310,15,402,166,417.0,1
311,Plusle,311,4,42,142,419.0,1
312,Minun,312,4,42,142,420.0,1
313,Volbeat,313,7,177,151,421.0,1
314,Illumise,314,6,177,151,422.0,1
315,Roselia,315,3,20,140,424.0,1
316,Gulpin,316,4,103,60,426.0,1
317,Swalot,317,17,800,163,427.0,1
318,Carvanha,318,8,208,61,428.0,1
319,Sharpedo,319,18,888,161,429.0,1
320,Wailmer,320,20,1300,80,431.0,1
321,Wailord,321,145,3980,175,432.0,1
322,Numel,322,7,240,61,433.0,1
323,Camerupt,323,19,2200,161,434.0,1
324,Torkoal,324,5,804,165,436.0,1
325,Spoink,325,7,306,66,437.0,1
326,Grumpig,326,9,715,165,438.0,1
327,Spinda,327,11,50,126,439.0,1
328,Trapinch,328,7,150,58,440.0,1
329,Vibrava,329,11,153,119,441.0,1
330,Flygon,330,20,820,260,442.0,1
331,Cacnea,331,4,513,67,443.0,1
332,Cacturne,332,13,774,166,444.0,1
333,Swablu,333,4,12,62,445.0,1
334,Altaria,334,11,206,172,446.0,1
335,Zangoose,335,13,403,160,448.0,1
336,Seviper,336,27,525,160,449.0,1
337,Lunatone,337,10,1680,161,450.0,1
338,Solrock,338,12,1540,161,451.0,1
339,Barboach,339,4,19,58,452.0,1
340,Whiscash,340,9,236,164,453.0,1
341,Corphish,341,6,115,62,454.0,1
342,Crawdaunt,342,11,328,164,455.0,1
343,Baltoy,343,5,215,60,456.0,1
344,Claydol,344,15,1080,175,457.0,1
345,Lileep,345,10,238,71,458.0,1
346,Cradily,346,15,604,173,459.0,1
347,Anorith,347,7,125,71,460.0,1
348,Armaldo,348,15,682,173,461.0,1
349,Feebas,349,6,74,40,462.0,1
350,Milotic,350,62,1620,189,463.0,1
351,Castform,351,3,8,147,464.0,1
352,Kecleon,352,10,220,154,468.0,1
353,Shuppet,353,6,23,59,469.0,1
354,Banette,354,11,125,159,470.0,1
355,Duskull,355,8,150,59,472.0,1
356,Dusclops,356,16,306,159,473.0,1
357,Tropius,357,20,1000,161,475.0,1
358,Chimecho,358,6,10,159,477.0,1
359,Absol,359,12,470,163,478.0,1
360,Wynaut,360,6,140,52,298.0,1
361,Snorunt,361,7,168,60,480.0,1
362,Glalie,362,15,2565,168,481.0,1
363,Spheal,363,8,395,58,484.0,1
364,Sealeo,364,11,876,144,485.0,1
365,Walrein,365,14,1506,265,486.0,1
366,Clamperl,366,4,525,69,487.0,1
367,Huntail,367,17,270,170,488.0,1
368,Gorebyss,368,18,226,170,489.0,1
369,Relicanth,369,10,234,170,490.0,1
370,Luvdisc,370,6,87,116,491.0,1
371,Bagon,371,6,421,60,492.0,1
372,Shelgon,372,11,1105,147,493.0,1
373,Salamence,373,15,1026,300,494.0,1
374,Beldum,374,6,952,60,496.0,1
375,Metang,375,12,2025,147,497.0,1
376,Metagross,376,16,5500,300,498.0,1
377,Regirock,377,17,2300,290,500.0,1
378,Regice,378,18,1750,290,501.0,1
379,Registeel,379,19,2050,290,502.0,1
380,Latias,380,14,400,300,503.0,1
381,Latios,381,20,600,300,505.0,1
382,Kyogre,382,45,3520,335,507.0,1
383,Groudon,383,35,9500,335,509.0,1
384,Rayquaza,384,70,2065,340,511.0,1
385,Jirachi,385,3,11,300,513.0,1
386,Deoxys Normal,386,17,608,270,514.0,1
387,Turtwig,387,4,102,64,518.0,1
388,Grotle,388,11,970,142,519.0,1
389,Torterra,389,22,3100,236,520.0,1
390,Chimchar,390,5,62,62,521.0,1
391,Monferno,391,9,220,142,522.0,1
392,Infernape,392,12,550,240,523.0,1
393,Piplup,393,4,52,63,524.0,1
394,Prinplup,394,8,230,142,525.0,1
395,Empoleon,395,17,845,239,526.0,1
396,Starly,396,3,20,49,527.0,1
397,Staravia,397,6,155,119,528.0,1
398,Staraptor,398,12,249,218,529.0,1
399,Bidoof,399,5,200,50,530.0,1
400,Bibarel,400,10,315,144,531.0,1
401,Kricketot,401,3,22,39,532.0,1
402,Kricketune,402,10,255,134,533.0,1
403,Shinx,403,5,95,53,534.0,1
404,Luxio,404,9,305,127,535.0,1
405,Luxray,405,14,420,262,536.0,1
406,Budew,406,2,12,56,423.0,1
407,Roserade,407,9,145,258,425.0,1
408,Cranidos,408,9,315,70,537.0,1
409,Rampardos,409,16,1025,173,538.0,1
410,Shieldon,410,5,570,70,539.0,1
411,Bastiodon,411,13,1495,173,540.0,1
412,Burmy,412,2,34,45,541.0,1
413,Wormadam Plant,413,5,65,148,542.0,1
414,Mothim,414,9,233,148,545.0,1
415,Combee,415,3,55,49,546.0,1
416,Vespiquen,416,12,385,166,547.0,1
417,Pachirisu,417,4,39,142,548.0,1
418,Buizel,418,7,295,66,549.0,1
419,Floatzel,419,11,335,173,550.0,1
420,Cherubi,420,4,33,55,551.0,1
421,Cherrim,421,5,93,158,552.0,1
422,Shellos,422,3,63,65,553.0,1
423,Gastrodon,423,9,299,166,554.0,1
424,Ambipom,424,12,203,169,286.0,1
425,Drifloon,425,4,12,70,555.0,1
426,Drifblim,426,12,150,174,556.0,1
427,Buneary,427,4,55,70,557.0,1
428,Lopunny,428,12,333,168,558.0,1
429,Mismagius,429,9,44,173,296.0,1
430,Honchkrow,430,9,273,177,294.0,1
431,Glameow,431,5,39,62,560.0,1
432,Purugly,432,10,438,158,561.0,1
433,Chingling,433,2,6,57,476.0,1
434,Stunky,434,4,192,66,562.0,1
435,Skuntank,435,10,380,168,563.0,1
436,Bronzor,436,5,605,60,564.0,1
437,Bronzong,437,13,1870,175,565.0,1
438,Bonsly,438,5,150,58,280.0,1
439,Mime Jr,439,6,130,62,193.0,1
440,Happiny,440,6,244,110,179.0,1
441,Chatot,441,5,19,144,566.0,1
442,Spiritomb,442,10,1080,170,567.0,1
443,Gible,443,7,205,60,568.0,1
444,Gabite,444,14,560,144,569.0,1
445,Garchomp,445,19,950,300,570.0,1
446,Munchlax,446,6,1050,78,234.0,1
447,Riolu,447,7,202,57,572.0,1
448,Lucario,448,12,540,184,573.0,1
449,Hippopotas,449,8,495,66,575.0,1
450,Hippowdon,450,20,3000,184,576.0,1
451,Skorupi,451,8,120,66,577.0,1
452,Drapion,452,13,615,175,578.0,1
453,Croagunk,453,7,230,60,579.0,1
454,Toxicroak,454,13,444,172,580.0,1
455,Carnivine,455,14,270,159,581.0,1
456,Finneon,456,4,70,66,582.0,1
457,Lumineon,457,12,240,161,583.0,1
458,Mantyke,458,10,650,69,326.0,1
459,Snover,459,10,505,67,584.0,1
460,Abomasnow,460,22,1355,173,585.0,1
461,Weavile,461,11,340,179,313.0,1
462,Magnezone,462,12,1800,268,134.0,1
463,Lickilicky,463,17,1400,180,172.0,1
464,Rhyperior,464,24,2828,268,178.0,1
465,Tangrowth,465,20,1286,187,183.0,1
466,Electivire,466,18,1386,270,203.0,1
467,Magmortar,467,16,680,270,206.0,1
468,Togekiss,468,15,380,273,270.0,1
469,Yanmega,469,19,515,180,290.0,1
470,Leafeon,470,10,255,184,222.0,1
471,Glaceon,471,8,259,184,223.0,1
472,Gliscor,472,20,425,179,305.0,1
473,Mamoswine,473,25,2910,265,320.0,1
474,Porygon Z,474,9,340,268,227.0,1
475,Gallade,475,16,520,259,384.0,1
476,Probopass,476,14,3400,184,402.0,1
477,Dusknoir,477,22,1066,263,474.0,1
478,Froslass,478,13,266,168,483.0,1
479,Rotom,479,3,3,154,587.0,1
480,Uxie,480,3,3,290,593.0,1
481,Mesprit,481,3,3,290,594.0,1
482,Azelf,482,3,3,290,595.0,1
483,Dialga,483,54,6830,340,596.0,1
484,Palkia,484,42,3360,340,597.0,1
485,Heatran,485,17,4300,300,598.0,1
486,Regigigas,486,37,4200,335,599.0,1
487,Giratina Altered,487,45,7500,340,600.0,1
488,Cresselia,488,15,856,300,602.0,1
489,Phione,489,4,31,216,603.0,1
490,Manaphy,490,3,14,270,604.0,1
491,Darkrai,491,15,505,270,605.0,1
492,Shaymin Land,492,2,21,270,606.0,1
493,Arceus,493,32,3200,324,608.0,1
494,Victini,494,4,40,300,609.0,1
495,Snivy,495,6,81,62,610.0,1
496,Servine,496,8,160,145,611.0,1
497,Serperior,497,33,630,238,612.0,1
498,Tepig,498,5,99,62,613.0,1
499,Pignite,499,10,555,146,614.0,1
500,Emboar,500,16,1500,238,615.0,1
501,Oshawott,501,5,59,62,616.0,1
502,Dewott,502,8,245,145,617.0,1
503,Samurott,503,15,946,238,618.0,1
504,Patrat,504,5,116,51,619.0,1
505,Watchog,505,11,270,147,620.0,1
506,Lillipup,506,4,41,55,621.0,1
507,Herdier,507,9,147,130,622.0,1
508,Stoutland,508,12,610,250,623.0,1
509,Purrloin,509,4,101,56,624.0,1
510,Liepard,510,11,375,156,625.0,1
511,Pansage,511,6,105,63,626.0,1
512,Simisage,512,11,305,174,627.0,1
513,Pansear,513,6,110,63,628.0,1
514,Simisear,514,10,280,174,629.0,1
515,Panpour,515,6,135,63,630.0,1
516,Simipour,516,10,290,174,631.0,1
517,Munna,517,6,233,58,632.0,1
518,Musharna,518,11,605,170,633.0,1
519,Pidove,519,3,21,53,634.0,1
520,Tranquill,520,6,150,125,635.0,1
521,Unfezant,521,12,290,244,636.0,1
522,Blitzle,522,8,298,59,637.0,1
523,Zebstrika,523,16,795,174,638.0,1
524,Roggenrola,524,4,180,56,639.0,1
525,Boldore,525,9,1020,137,640.0,1
526,Gigalith,526,17,2600,258,641.0,1
527,Woobat,527,4,21,65,642.0,1
528,Swoobat,528,9,105,149,643.0,1
529,Drilbur,529,3,85,66,644.0,1
530,Excadrill,530,7,404,178,645.0,1
531,Audino,531,11,310,390,646.0,1
532,Timburr,532,6,125,61,648.0,1
533,Gurdurr,533,12,400,142,649.0,1
534,Conkeldurr,534,14,870,253,650.0,1
535,Tympole,535,5,45,59,651.0,1
536,Palpitoad,536,8,170,134,652.0,1
537,Seismitoad,537,15,620,255,653.0,1
538,Throh,538,13,555,163,654.0,1
539,Sawk,539,14,510,163,655.0,1
540,Sewaddle,540,3,25,62,656.0,1
541,Swadloon,541,5,73,133,657.0,1
542,Leavanny,542,12,205,225,658.0,1
543,Venipede,543,4,53,52,659.0,1
544,Whirlipede,544,12,585,126,660.0,1
545,Scolipede,545,25,2005,243,661.0,1
546,Cottonee,546,3,6,56,662.0,1
547,Whimsicott,547,7,66,168,663.0,1
548,Petilil,548,5,66,56,664.0,1
549,Lilligant,549,11,163,168,665.0,1
550,Basculin Red Striped,550,10,180,161,666.0,1
551,Sandile,551,7,152,58,668.0,1
552,Krokorok,552,10,334,123,669.0,1
553,Krookodile,553,15,963,260,670.0,1
554,Darumaka,554,6,375,63,671.0,1
555,Darmanitan Standard,555,13,929,168,673.0,1
556,Maractus,556,10,280,161,677.0,1
557,Dwebble,557,3,145,65,678.0,1
558,Crustle,558,14,2000,170,679.0,1
559,Scraggy,559,6,118,70,680.0,1
560,Scrafty,560,11,300,171,681.0,1
561,Sigilyph,561,14,140,172,682.0,1
562,Yamask,562,5,15,61,683.0,1
563,Cofagrigus,563,17,765,169,685.0,1
564,Tirtouga,564,7,165,71,686.0,1
565,Carracosta,565,12,810,173,687.0,1
566,Archen,566,5,95,71,688.0,1
567,Archeops,567,14,320,177,689.0,1
568,Trubbish,568,6,310,66,690.0,1
569,Garbodor,569,19,1073,166,691.0,1
570,Zorua,570,7,125,66,692.0,1
571,Zoroark,571,16,811,179,693.0,1
572,Minccino,572,4,58,60,694.0,1
573,Cinccino,573,5,75,165,695.0,1
574,Gothita,574,4,58,58,696.0,1
575,Gothorita,575,7,180,137,697.0,1
576,Gothitelle,576,15,440,245,698.0,1
577,Solosis,577,3,10,58,699.0,1
578,Duosion,578,6,80,130,700.0,1
579,Reuniclus,579,10,201,245,701.0,1
580,Ducklett,580,5,55,61,702.0,1
581,Swanna,581,13,242,166,703.0,1
582,Vanillite,582,4,57,61,704.0,1
583,Vanillish,583,11,410,138,705.0,1
584,Vanilluxe,584,13,575,268,706.0,1
585,Deerling,585,6,195,67,707.0,1
586,Sawsbuck,586,19,925,166,708.0,1
587,Emolga,587,4,50,150,709.0,1
588,Karrablast,588,5,59,63,710.0,1
589,Escavalier,589,10,330,173,711.0,1
590,Foongus,590,2,10,59,712.0,1
591,Amoonguss,591,6,105,162,713.0,1
592,Frillish,592,12,330,67,714.0,1
593,Jellicent,593,22,1350,168,715.0,1
594,Alomomola,594,12,316,165,716.0,1
595,Joltik,595,1,6,64,717.0,1
596,Galvantula,596,8,143,165,718.0,1
597,Ferroseed,597,6,188,61,719.0,1
598,Ferrothorn,598,10,1100,171,720.0,1
599,Klink,599,3,210,60,721.0,1
600,Klang,600,6,510,154,722.0,1
601,Klinklang,601,6,810,260,723.0,1
602,Tynamo,602,2,3,55,724.0,1
603,Eelektrik,603,12,220,142,725.0,1
604,Eelektross,604,21,805,232,726.0,1
605,Elgyem,605,5,90,67,727.0,1
606,Beheeyem,606,10,345,170,728.0,1
607,Litwick,607,3,31,55,729.0,1
608,Lampent,608,6,130,130,730.0,1
609,Chandelure,609,10,343,260,731.0,1
610,Axew,610,6,180,64,732.0,1
611,Fraxure,611,10,360,144,733.0,1
612,Haxorus,612,18,1055,270,734.0,1
613,Cubchoo,613,5,85,61,735.0,1
614,Beartic,614,26,2600,177,736.0,1
615,Cryogonal,615,11,1480,180,737.0,1
616,Shelmet,616,4,77,61,738.0,1
617,Accelgor,617,8,253,173,739.0,1
618,Stunfisk,618,7,110,165,740.0,1
619,Mienfoo,619,9,200,70,742.0,1
620,Mienshao,620,14,355,179,743.0,1
621,Druddigon,621,16,1390,170,744.0,1
622,Golett,622,10,920,61,745.0,1
623,Golurk,623,28,3300,169,746.0,1
624,Pawniard,624,5,102,68,747.0,1
625,Bisharp,625,16,700,172,748.0,1
626,Bouffalant,626,16,946,172,749.0,1
627,Rufflet,627,5,105,70,750.0,1
628,Braviary,628,15,410,179,751.0,1
629,Vullaby,629,5,90,74,752.0,1
630,Mandibuzz,630,12,395,179,753.0,1
631,Heatmor,631,14,580,169,754.0,1
632,Durant,632,3,330,169,755.0,1
633,Deino,633,8,173,60,756.0,1
634,Zweilous,634,14,500,147,757.0,1
635,Hydreigon,635,18,1600,300,758.0,1
636,Larvesta,636,11,288,72,759.0,1
637,Volcarona,637,16,460,275,760.0,1
638,Cobalion,638,21,2500,290,761.0,1
