id,identifier,species_id,height,weight,base_experience,order,is_default
62,poliwrath,62,13,540,255,101.0,1
63,abra,63,9,195,62,103.0,1
64,kadabra,64,13,565,140,104.0,1
65,alakazam,65,15,480,250,105.0,1
66,machop,66,8,195,61,107.0,1
67,machoke,67,15,705,142,108.0,1
68,machamp,68,16,1300,253,109.0,1
69,bellsprout,69,7,40,60,110.0,1
70,weepinbell,70,10,64,137,111.0,1
71,victreebel,71,17,155,221,112.0,1
72,tentacool,72,9,455,67,113.0,1
73,tentacruel,73,16,550,180,114.0,1
74,geodude,74,4,200,60,115.0,1
75,graveler,75,10,1050,137,117.0,1
76,golem,76,14,3000,223,119.0,1
77,ponyta,77,10,300,82,121.0,1
78,rapidash,78,17,950,175,123.0,1
79,slowpoke,79,12,360,63,125.0,1
80,slowbro,80,16,785,172,127.0,1
81,magnemite,81,3,60,65,132.0,1
82,magneton,82,10,600,163,133.0,1
83,farfetchd,83,8,150,132,135.0,1
84,doduo,84,14,392,62,137.0,1
85,dodrio,85,18,852,165,138.0,1
86,seel,86,11,900,65,139.0,1
87,dewgong,87,17,1200,166,140.0,1
88,grimer,88,9,300,65,141.0,1
89,muk,89,12,300,175,143.0,1
90,shellder,90,3,40,61,145.0,1
91,cloyster,91,15,1325,184,146.0,1
92,gastly,92,13,1,62,147.0,1
93,haunter,93,16,1,142,148.0,1
94,gengar,94,15,405,250,149.0,1
95,onix,95,88,2100,77,151.0,1
96,drowzee,96,10,324,66,154.0,1
97,hypno,97,16,756,169,155.0,1
98,krabby,98,4,65,65,156.0,1
99,kingler,99,13,600,166,157.0,1
100,voltorb,100,5,104,66,158.0,1
101,electrode,101,12,666,172,159.0,1
102,exeggcute,102,4,25,65,160.0,1
103,exeggutor,103,20,1200,186,161.0,1
104,cubone,104,4,65,64,163.0,1
105,marowak,105,10,450,149,164.0,1
106,hitmonlee,106,15,498,159,168.0,1
107,hitmonchan,107,14,502,159,169.0,1
108,lickitung,108,12,655,77,171.0,1
109,koffing,109,6,10,68,173.0,1
110,weezing,110,12,95,172,174.0,1
111,rhyhorn,111,10,1150,69,176.0,1
112,rhydon,112,19,1200,170,177.0,1
113,chansey,113,11,346,395,180.0,1
114,tangela,114,10,350,87,182.0,1
115,kangaskhan,115,22,800,172,184.0,1
116,horsea,116,4,80,59,186.0,1
117,seadra,117,12,250,154,187.0,1
118,goldeen,118,6,150,64,189.0,1
119,seaking,119,13,390,158,190.0,1
120,staryu,120,8,345,68,191.0,1
121,starmie,121,11,800,182,192.0,1
122,mr-mime,122,13,545,161,194.0,1
123,scyther,123,15,560,100,196.0,1
124,jynx,124,14,406,159,200.0,1
125,electabuzz,125,11,300,172,202.0,1
126,magmar,126,13,445,173,205.0,1
127,pinsir,127,15,550,175,207.0,1
128,tauros,128,14,884,172,209.0,1
129,magikarp,129,9,100,40,210.0,1
130,gyarados,130,65,2350,189,211.0,1
131,lapras,131,25,2200,187,213.0,1
132,ditto,132,3,40,101,214.0,1
133,eevee,133,3,65,65,215.0,1
134,vaporeon,134,10,290,184,217.0,1
135,jolteon,135,8,245,184,218.0,1
136,flareon,136,9,250,184,219.0,1
137,porygon,137,8,365,79,225.0,1
138,omanyte,138,4,75,71,228.0,1
139,omastar,139,10,350,173,229.0,1
140,kabuto,140,5,115,71,230.0,1
141,kabutops,141,13,405,173,231.0,1
142,aerodactyl,142,18,590,180,232.0,1
143,snorlax,143,21,4600,189,235.0,1
144,articuno,144,17,554,290,236.0,1
145,zapdos,145,16,526,290,238.0,1
146,moltres,146,20,600,290,240.0,1
147,dratini,147,18,33,60,242.0,1
148,dragonair,148,40,165,147,243.0,1
149,dragonite,149,22,2100,300,244.0,1
150,mewtwo,150,20,1220,340,245.0,1
151,mew,151,4,40,300,248.0,1
152,chikorita,152,9,64,64,249.0,1
153,bayleef,153,12,158,142,250.0,1
154,meganium,154,18,1005,236,251.0,1
155,cyndaquil,155,5,79,62,252.0,1
156,quilava,156,9,190,142,253.0,1
157,typhlosion,157,17,795,240,254.0,1
158,totodile,158,6,95,63,255.0,1
159,croconaw,159,11,250,142,256.0,1
160,feraligatr,160,23,888,239,257.0,1
161,sentret,161,8,60,43,258.0,1
162,furret,162,18,325,145,259.0,1
163,hoothoot,163,7,212,52,260.0,1
164,noctowl,164,16,408,158,261.0,1
165,ledyba,165,10,108,53,262.0,1
166,ledian,166,14,356,137,263.0,1
167,spinarak,167,5,85,50,264.0,1
168,ariados,168,11,335,140,265.0,1
169,crobat,169,18,750,268,75.0,1
170,chinchou,170,5,120,66,266.0,1
171,lanturn,171,12,225,161,267.0,1
172,pichu,172,3,20,41,34.0,1
173,cleffa,173,3,30,44,63.0,1
174,igglybuff,174,3,10,42,70.0,1
175,togepi,175,3,15,49,268.0,1
176,togetic,176,6,32,142,269.0,1
177,natu,177,2,20,64,271.0,1
178,xatu,178,15,150,165,272.0,1
179,mareep,179,6,78,56,273.0,1
180,flaaffy,180,8,133,128,274.0,1
181,ampharos,181,14,615,230,275.0,1
182,bellossom,182,4,58,245,79.0,1
183,marill,183,4,85,88,278.0,1
184,azumarill,184,8,285,210,279.0,1
185,sudowoodo,185,12,380,144,281.0,1
186,politoed,186,11,339,250,102.0,1
187,hoppip,187,4,5,50,282.0,1
188,skiploom,188,6,10,119,283.0,1
189,jumpluff,189,8,30,207,284.0,1
190,aipom,190,8,115,72,285.0,1
191,sunkern,191,3,18,36,287.0,1
192,sunflora,192,8,85,149,288.0,1
193,yanma,193,12,380,78,289.0,1
194,wooper,194,4,85,42,291.0,1
195,quagsire,195,14,750,151,292.0,1
196,espeon,196,9,265,184,220.0,1
197,umbreon,197,10,270,184,221.0,1
198,murkrow,198,5,21,81,293.0,1
199,slowking,199,20,795,172,130.0,1
200,misdreavus,200,7,10,87,295.0,1
201,unown,201,5,50,118,297.0,1
202,wobbuffet,202,13,285,142,299.0,1
203,girafarig,203,15,415,159,300.0,1
204,pineco,204,6,72,58,301.0,1
205,forretress,205,12,1258,163,302.0,1
206,dunsparce,206,15,140,145,303.0,1
207,gligar,207,11,648,86,304.0,1
208,steelix,208,92,4000,179,152.0,1
209,snubbull,209,6,78,60,306.0,1
210,granbull,210,14,487,158,307.0,1
211,qwilfish,211,5,39,88,308.0,1
212,scizor,212,18,1180,175,197.0,1
213,shuckle,213,6,205,177,309.0,1
214,heracross,214,15,540,175,310.0,1
215,sneasel,215,9,280,86,312.0,1
216,teddiursa,216,6,88,66,314.0,1
217,ursaring,217,18,1258,175,315.0,1
218,slugma,218,7,350,50,316.0,1
219,magcargo,219,8,550,151,317.0,1
220,swinub,220,4,65,50,318.0,1
221,piloswine,221,11,558,158,319.0,1
222,corsola,222,6,50,144,321.0,1
223,remoraid,223,6,120,60,323.0,1
224,octillery,224,9,285,168,324.0,1
225,delibird,225,9,160,116,325.0,1
226,mantine,226,21,2200,170,327.0,1
227,skarmory,227,17,505,163,328.0,1
228,houndour,228,6,108,66,329.0,1
229,houndoom,229,14,350,175,330.0,1
230,kingdra,230,18,1520,270,188.0,1
231,phanpy,231,5,335,66,332.0,1
232,donphan,232,11,1200,175,333.0,1
233,porygon2,233,6,325,180,226.0,1
234,stantler,234,14,712,163,334.0,1
235,smeargle,235,12,580,88,335.0,1
236,tyrogue,236,7,210,42,167.0,1
237,hitmontop,237,14,480,159,170.0,1
238,smoochum,238,4,60,61,199.0,1
239,elekid,239,6,235,72,201.0,1
240,magby,240,7,214,73,204.0,1
241,miltank,241,12,755,172,336.0,1
242,blissey,242,15,468,635,181.0,1
243,raikou,243,19,1780,290,337.0,1
244,entei,244,21,1980,290,338.0,1
245,suicune,245,20,1870,290,339.0,1
246,larvitar,246,6,720,60,340.0,1
247,pupitar,247,12,1520,144,341.0,1
248,tyranitar,248,20,2020,300,342.0,1
249,Lugia,249,52,2160,340,344.0,1
250,ho-oh,250,38,1990,340,345.0,1
251,celebi,251,6,50,300,346.0,1
252,treecko,252,5,50,62,347.0,1
253,grovyle,253,9,216,142,348.0,1
254,sceptile,254,17,522,265,349.0,1
255,torchic,255,4,25,62,351.0,1
256,combusken,256,9,195,142,352.0,1
257,blaziken,257,19,520,265,353.0,1
258,mudkip,258,4,76,62,355.0,1
259,marshtomp,259,7,280,142,356.0,1
260,swampert,260,15,819,268,357.0,1
261,poochyena,261,5,136,56,359.0,1
262,mightyena,262,10,370,147,360.0,1
263,zigzagoon,263,4,175,56,361.0,1
264,linoone,264,5,325,147,363.0,1
265,wurmple,265,3,36,56,365.0,1
266,silcoon,266,6,100,72,366.0,1
267,beautifly,267,10,284,178,367.0,1
268,cascoon,268,7,115,72,368.0,1
269,dustox,269,12,316,173,369.0,1
270,lotad,270,5,26,44,370.0,1
271,lombre,271,12,325,119,371.0,1
272,ludicolo,272,15,550,240,372.0,1
273,seedot,273,5,40,44,373.0,1
274,nuzleaf,274,10,280,119,374.0,1
275,shiftry,275,13,596,240,375.0,1
276,taillow,276,3,23,54,376.0,1
277,swellow,277,7,198,159,377.0,1
278,wingull,278,6,95,54,378.0,1
279,pelipper,279,12,280,154,379.0,1
280,ralts,280,4,66,40,380.0,1
281,kirlia,281,8,202,97,381.0,1
282,gardevoir,282,16,484,259,382.0,1
283,surskit,283,5,17,54,386.0,1
284,masquerain,284,8,36,159,387.0,1
285,shroomish,285,4,45,59,388.0,1
286,breloom,286,12,392,161,389.0,1
287,slakoth,287,8,240,56,390.0,1
288,vigoroth,288,14,465,154,391.0,1
289,slaking,289,20,1305,252,392.0,1
290,nincada,290,5,55,53,393.0,1
291,ninjask,291,8,120,160,394.0,1
292,shedinja,292,8,12,83,395.0,1
293,whismur,293,6,163,48,396.0,1
294,loudred,294,10,405,126,397.0,1
295,exploud,295,15,840,245,398.0,1
296,makuhita,296,10,864,47,399.0,1
297,hariyama,297,23,2538,166,400.0,1
298,azurill,298,2,20,38,277.0,1
299,nosepass,299,10,970,75,401.0,1
300,skitty,300,6,110,52,403.0,1
301,delcatty,301,11,326,140,404.0,1
302,sableye,302,5,110,133,405.0,1
303,mawile,303,6,115,133,407.0,1
304,aron,304,4,600,66,409.0,1
305,lairon,305,9,1200,151,410.0,1
306,aggron,306,21,3600,265,411.0,1
307,meditite,307,6,112,56,413.0,1
308,medicham,308,13,315,144,414.0,1
309,electrike,309,6,152,59,416.0,1
310,manectric,310,15,402,166,417.0,1
311,plusle,311,4,42,142,419.0,1
312,minun,312,4,42,142,420.0,1
313,volbeat,313,7,177,151,421.0,1
314,illumise,314,6,177,151,422.0,1
315,roselia,315,3,20,140,424.0,1
316,gulpin,316,4,103,60,426.0,1
317,swalot,317,17,800,163,427.0,1
318,carvanha,318,8,208,61,428.0,1
319,sharpedo,319,18,888,161,429.0,1
320,wailmer,320,20,1300,80,431.0,1
321,WAILORD,321,145,3980,175,432.0,1
322,numel,322,7,240,61,433.0,1
323,camerupt,323,19,2200,161,434.0,1
324,torkoal,324,5,804,165,436.0,1
325,spoink,325,7,306,66,437.0,1
326,grumpig,326,9,715,165,438.0,1
327,spinda,327,11,50,126,439.0,1
328,trapinch,328,7,150,58,440.0,1
329,vibrava,329,11,153,119,441.0,1
330,flygon,330,20,820,260,442.0,1
331,cacnea,331,4,513,67,443.0,1
332,cacturne,332,13,774,166,444.0,1
333,swablu,333,4,12,62,445.0,1
334,altaria,334,11,206,172,446.0,1
335,zangoose,335,13,403,160,448.0,1
336,seviper,336,27,525,160,449.0,1
337,lunatone,337,10,1680,161,450.0,1
338,solrock,338,12,1540,161,451.0,1
339,barboach,339,4,19,58,452.0,1
340,whiscash,340,9,236,164,453.0,1
341,corphish,341,6,115,62,454.0,1
342,crawdaunt,342,11,328,164,455.0,1
343,baltoy,343,5,215,60,456.0,1
344,claydol,344,15,1080,175,457.0,1
345,lileep,345,10,238,71,458.0,1
346,cradily,346,15,604,173,459.0,1
347,anorith,347,7,125,71,460.0,1
348,armaldo,348,15,682,173,461.0,1
349,feebas,349,6,74,40,462.0,1
350,milotic,350,62,1620,189,463.0,1
351,castform,351,3,8,147,464.0,1
352,kecleon,352,10,220,154,468.0,1
353,shuppet,353,6,23,59,469.0,1
354,banette,354,11,125,159,470.0,1
355,duskull,355,8,150,59,472.0,1
356,dusclops,356,16,306,159,473.0,1
357,tropius,357,20,1000,161,475.0,1
358,chimecho,358,6,10,159,477.0,1
359,absol,359,12,470,163,478.0,1
360,wynaut,360,6,140,52,298.0,1
361,snorunt,361,7,168,60,480.0,1
362,glalie,362,15,2565,168,481.0,1
363,spheal,363,8,395,58,484.0,1
364,sealeo,364,11,876,144,485.0,1
365,walrein,365,14,1506,265,486.0,1
366,clamperl,366,4,525,69,487.0,1
367,huntail,367,17,270,170,488.0,1
368,gorebyss,368,18,226,170,489.0,1
369,relicanth,369,10,234,170,490.0,1
370,luvdisc,370,6,87,116,491.0,1
371,bagon,371,6,421,60,492.0,1
372,shelgon,372,11,1105,147,493.0,1
373,salamence,373,15,1026,300,494.0,1
374,beldum,374,6,952,60,496.0,1
375,metang,375,12,2025,147,497.0,1
376,metagross,376,16,5500,300,498.0,1
377,regirock,377,17,2300,290,500.0,1
378,regice,378,18,1750,290,501.0,1
379,registeel,379,19,2050,290,502.0,1
380,latias,380,14,400,300,503.0,1
381,latios,381,20,600,300,505.0,1
382,kyogre,382,45,3520,335,507.0,1
383,groudon,383,35,9500,335,509.0,1
384,rayquaza,384,70,2065,340,511.0,1
385,jirachi,385,3,11,300,513.0,1
386,deoxys-normal,386,17,608,270,514.0,1
387,turtwig,387,4,102,64,518.0,1
388,grotle,388,11,970,142,519.0,1
389,torterra,389,22,3100,236,520.0,1
390,chimchar,390,5,62,62,521.0,1
391,monferno,391,9,220,142,522.0,1
392,infernape,392,12,550,240,523.0,1
393,piplup,393,4,52,63,524.0,1
394,prinplup,394,8,230,142,525.0,1
395,empoleon,395,17,845,239,526.0,1
396,starly,396,3,20,49,527.0,1
397,staravia,397,6,155,119,528.0,1
398,staraptor,398,12,249,218,529.0,1
399,bidoof,399,5,200,50,530.0,1
400,bibarel,400,10,315,144,531.0,1
401,kricketot,401,3,22,39,532.0,1
402,kricketune,402,10,255,134,533.0,1
403,shinx,403,5,95,53,534.0,1
404,luxio,404,9,305,127,535.0,1
405,luxray,405,14,420,262,536.0,1
406,budew,406,2,12,56,423.0,1
407,roserade,407,9,145,258,425.0,1
408,cranidos,408,9,315,70,537.0,1
409,rampardos,409,16,1025,173,538.0,1
410,shieldon,410,5,570,70,539.0,1
411,bastiodon,411,13,1495,173,540.0,1
412,burmy,412,2,34,45,541.0,1
413,wormadam-plant,413,5,65,148,542.0,1
414,mothim,414,9,233,148,545.0,1
415,combee,415,3,55,49,546.0,1
416,vespiquen,416,12,385,166,547.0,1
417,pachirisu,417,4,39,142,548.0,1
418,buizel,418,7,295,66,549.0,1
419,floatzel,419,11,335,173,550.0,1
420,cherubi,420,4,33,55,551.0,1
421,cherrim,421,5,93,158,552.0,1
422,shellos,422,3,63,65,553.0,1
423,gastrodon,423,9,299,166,554.0,1
424,ambipom,424,12,203,169,286.0,1
425,drifloon,425,4,12,70,555.0,1
426,drifblim,426,12,150,174,556.0,1
427,buneary,427,4,55,70,557.0,1
428,lopunny,428,12,333,168,558.0,1
429,mismagius,429,9,44,173,296.0,1
430,honchkrow,430,9,273,177,294.0,1
431,glameow,431,5,39,62,560.0,1
432,purugly,432,10,438,158,561.0,1
433,chingling,433,2,6,57,476.0,1
434,stunky,434,4,192,66,562.0,1
435,skuntank,435,10,380,168,563.0,1
436,bronzor,436,5,605,60,564.0,1
437,bronzong,437,13,1870,175,565.0,1
438,bonsly,438,5,150,58,280.0,1
439,mime-jr,439,6,130,62,193.0,1
440,happiny,440,6,244,110,179.0,1
441,chatot,441,5,19,144,566.0,1
442,spiritomb,442,10,1080,170,567.0,1
443,gible,443,7,205,60,568.0,1
444,gabite,444,14,560,144,569.0,1
445,garchomp,445,19,950,300,570.0,1
446,munchlax,446,6,1050,78,234.0,1
447,riolu,447,7,202,57,572.0,1
448,lucario,448,12,540,184,573.0,1
449,hippopotas,449,8,495,66,575.0,1
450,hippowdon,450,20,3000,184,576.0,1
451,skorupi,451,8,120,66,577.0,1
452,drapion,452,13,615,175,578.0,1
453,croagunk,453,7,230,60,579.0,1
454,toxicroak,454,13,444,172,580.0,1
455,carnivine,455,14,270,159,581.0,1
456,finneon,456,4,70,66,582.0,1
457,lumineon,457,12,240,161,583.0,1
458,mantyke,458,10,650,69,326.0,1
459,snover,459,10,505,67,584.0,1
460,abomasnow,460,22,1355,173,585.0,1
461,weavile,461,11,340,179,313.0,1
462,magnezone,462,12,1800,268,134.0,1
463,lickilicky,463,17,1400,180,172.0,1
464,rhyperior,464,24,2828,268,178.0,1
465,tangrowth,465,20,1286,187,183.0,1
466,electivire,466,18,1386,270,203.0,1
467,magmortar,467,16,680,270,206.0,1
468,togekiss,468,15,380,273,270.0,1
469,yanmega,469,19,515,180,290.0,1
470,leafeon,470,10,255,184,222.0,1
471,glaceon,471,8,259,184,223.0,1
472,gliscor,472,20,425,179,305.0,1
473,mamoswine,473,25,2910,265,320.0,1
474,porygon-z,474,9,340,268,227.0,1
475,gallade,475,16,520,259,384.0,1
476,probopass,476,14,3400,184,402.0,1
477,dusknoir,477,22,1066,263,474.0,1
478,froslass,478,13,266,168,483.0,1
479,rotom,479,3,3,154,587.0,1
480,uxie,480,3,3,290,593.0,1
481,mesprit,481,3,3,290,594.0,1
482,azelf,482,3,3,290,595.0,1
483,Dialga,483,54,6830,340,596.0,1
484,palkia,484,42,3360,340,597.0,1
485,heatran,485,17,4300,300,598.0,1
486,regigigas,486,37,4200,335,599.0,1
487,giratina-altered,487,45,7500,340,600.0,1
488,cresselia,488,15,856,300,602.0,1
489,phione,489,4,31,216,603.0,1
490,manaphy,490,3,14,270,604.0,1
491,darkrai,491,15,505,270,605.0,1
492,shaymin-land,492,2,21,270,606.0,1
493,arceus,493,32,3200,324,608.0,1
494,victini,494,4,40,300,609.0,1
495,snivy,495,6,81,62,610.0,1
496,servine,496,8,160,145,611.0,1
497,serperior,497,33,630,238,612.0,1
498,tepig,498,5,99,62,613.0,1
499,pignite,499,10,555,146,614.0,1
500,emboar,500,16,1500,238,615.0,1
501,oshawott,501,5,59,62,616.0,1
502,dewott,502,8,245,145,617.0,1
503,samurott,503,15,946,238,618.0,1
504,patrat,504,5,116,51,619.0,1
505,watchog,505,11,270,147,620.0,1
506,lillipup,506,4,41,55,621.0,1
507,herdier,507,9,147,130,622.0,1
508,stoutland,508,12,610,250,623.0,1
509,purrloin,509,4,101,56,624.0,1
510,liepard,510,11,375,156,625.0,1
511,pansage,511,6,105,63,626.0,1
512,simisage,512,11,305,174,627.0,1
513,pansear,513,6,110,63,628.0,1
514,simisear,514,10,280,174,629.0,1
515,panpour,515,6,135,63,630.0,1
516,simipour,516,10,290,174,631.0,1
517,munna,517,6,233,58,632.0,1
518,musharna,518,11,605,170,633.0,1
519,pidove,519,3,21,53,634.0,1
520,tranquill,520,6,150,125,635.0,1
521,unfezant,521,12,290,244,636.0,1
522,blitzle,522,8,298,59,637.0,1
523,zebstrika,523,16,795,174,638.0,1
524,roggenrola,524,4,180,56,639.0,1
525,boldore,525,9,1020,137,640.0,1
526,gigalith,526,17,2600,258,641.0,1
527,woobat,527,4,21,65,642.0,1
528,swoobat,528,9,105,149,643.0,1
529,drilbur,529,3,85,66,644.0,1
530,excadrill,530,7,404,178,645.0,1
531,audino,531,11,310,390,646.0,1
532,timburr,532,6,125,61,648.0,1
533,gurdurr,533,12,400,142,649.0,1
534,conkeldurr,534,14,870,253,650.0,1
535,tympole,535,5,45,59,651.0,1
536,palpitoad,536,8,170,134,652.0,1
537,seismitoad,537,15,620,255,653.0,1
538,throh,538,13,555,163,654.0,1
539,sawk,539,14,510,163,655.0,1
540,sewaddle,540,3,25,62,656.0,1
541,swadloon,541,5,73,133,657.0,1
542,leavanny,542,12,205,225,658.0,1
543,venipede,543,4,53,52,659.0,1
544,whirlipede,544,12,585,126,660.0,1
545,scolipede,545,25,2005,243,661.0,1
546,cottonee,546,3,6,56,662.0,1
547,whimsicott,547,7,66,168,663.0,1
548,petilil,548,5,66,56,664.0,1
549,lilligant,549,11,163,168,665.0,1
550,basculin-red-striped,550,10,180,161,666.0,1
551,sandile,551,7,152,58,668.0,1
552,krokorok,552,10,334,123,669.0,1
553,krookodile,553,15,963,260,670.0,1
554,darumaka,554,6,375,63,671.0,1
555,darmanitan-standard,555,13,929,168,673.0,1
556,maractus,556,10,280,161,677.0,1
557,dwebble,557,3,145,65,678.0,1
558,crustle,558,14,2000,170,679.0,1
559,scraggy,559,6,118,70,680.0,1
560,scrafty,560,11,300,171,681.0,1
561,sigilyph,561,14,140,172,682.0,1
562,yamask,562,5,15,61,683.0,1
563,cofagrigus,563,17,765,169,685.0,1
564,tirtouga,564,7,165,71,686.0,1
565,carracosta,565,12,810,173,687.0,1
566,archen,566,5,95,71,688.0,1
567,archeops,567,14,320,177,689.0,1
568,trubbish,568,6,310,66,690.0,1
569,garbodor,569,19,1073,166,691.0,1
570,zorua,570,7,125,66,692.0,1
571,zoroark,571,16,811,179,693.0,1
572,minccino,572,4,58,60,694.0,1
573,cinccino,573,5,75,165,695.0,1
574,gothita,574,4,58,58,696.0,1
575,gothorita,575,7,180,137,697.0,1
576,gothitelle,576,15,440,245,698.0,1
577,solosis,577,3,10,58,699.0,1
578,duosion,578,6,80,130,700.0,1
579,reuniclus,579,10,201,245,701.0,1
580,ducklett,580,5,55,61,702.0,1
581,swanna,581,13,242,166,703.0,1
582,vanillite,582,4,57,61,704.0,1
583,vanillish,583,11,410,138,705.0,1
584,vanilluxe,584,13,575,268,706.0,1
585,deerling,585,6,195,67,707.0,1
586,sawsbuck,586,19,925,166,708.0,1
587,emolga,587,4,50,150,709.0,1
588,karrablast,588,5,59,63,710.0,1
589,escavalier,589,10,330,173,711.0,1
590,foongus,590,2,10,59,712.0,1
591,amoonguss,591,6,105,162,713.0,1
592,frillish,592,12,330,67,714.0,1
593,jellicent,593,22,1350,168,715.0,1
594,alomomola,594,12,316,165,716.0,1
595,joltik,595,1,6,64,717.0,1
596,galvantula,596,8,143,165,718.0,1
597,ferroseed,597,6,188,61,719.0,1
598,ferrothorn,598,10,1100,171,720.0,1
599,klink,599,3,210,60,721.0,1
600,klang,600,6,510,154,722.0,1
601,klinklang,601,6,810,260,723.0,1
602,tynamo,602,2,3,55,724.0,1
603,eelektrik,603,12,220,142,725.0,1
604,eelektross,604,21,805,232,726.0,1
605,elgyem,605,5,90,67,727.0,1
606,beheeyem,606,10,345,170,728.0,1
607,litwick,607,3,31,55,729.0,1
608,lampent,608,6,130,130,730.0,1
609,chandelure,609,10,343,260,731.0,1
610,axew,610,6,180,64,732.0,1
611,fraxure,611,10,360,144,733.0,1
612,haxorus,612,18,1055,270,734.0,1
613,cubchoo,613,5,85,61,735.0,1
614,beartic,614,26,2600,177,736.0,1
615,cryogonal,615,11,1480,180,737.0,1
616,shelmet,616,4,77,61,738.0,1
617,accelgor,617,8,253,173,739.0,1
618,stunfisk,618,7,110,165,740.0,1
619,mienfoo,619,9,200,70,742.0,1
620,mienshao,620,14,355,179,743.0,1
621,druddigon,621,16,1390,170,744.0,1
622,golett,622,10,920,61,745.0,1
623,golurk,623,28,3300,169,746.0,1
624,pawniard,624,5,102,68,747.0,1
625,bisharp,625,16,700,172,748.0,1
626,bouffalant,626,16,946,172,749.0,1
627,rufflet,627,5,105,70,750.0,1
628,braviary,628,15,410,179,751.0,1
629,vullaby,629,5,90,74,752.0,1
630,mandibuzz,630,12,395,179,753.0,1
631,heatmor,631,14,580,169,754.0,1
632,durant,632,3,330,169,755.0,1
633,deino,633,8,173,60,756.0,1
634,zweilous,634,14,500,147,757.0,1
635,hydreigon,635,18,1600,300,758.0,1
636,larvesta,636,11,288,72,759.0,1
637,volcarona,637,16,460,275,760.0,1
638,cobalion,638,21,2500,290,761.0,1
639,terrakion,639,19,2600,290,762.0,1
640,virizion,640,20,2000,290,763.0,1
641,tornadus-incarnate,641,15,630,290,764.0,1
642,thundurus-incarnate,642,15,610,290,766.0,1
643,reshiram,643,32,3300,340,768.0,1
644,zekrom,644,29,3450,340,769.0,1
645,landorus-incarnate,645,15,680,300,770.0,1
646,kyurem,646,30,3250,330,772.0,1
647,keldeo-ordinary,647,14,485,290,775.0,1
648,meloetta-aria,648,6,65,270,777.0,1
649,genesect,649,15,825,300,779.0,1
650,chespin,650,4,90,63,780.0,1
651,quilladin,651,7,290,142,781.0,1
652,chesnaught,652,16,900,239,782.0,1
653,fennekin,653,4,94,61,783.0,1
654,braixen,654,10,145,143,784.0,1
655,delphox,655,15,390,240,785.0,1
656,froakie,656,3,70,63,786.0,1
657,frogadier,657,6,109,142,787.0,1
658,greninja,658,15,400,239,788.0,1
659,bunnelby,659,4,50,47,791.0,1
660,diggersby,660,10,424,148,792.0,1
661,fletchling,661,3,17,56,793.0,1
662,fletchinder,662,7,160,134,794.0,1
663,talonflame,663,12,245,175,795.0,1
664,scatterbug,664,3,25,40,796.0,1
665,spewpa,665,3,84,75,797.0,1
666,vivillon,666,12,170,185,798.0,1
667,litleo,667,6,135,74,799.0,1
