id,region_id,identifier,region
81,2.0,mt-mortar,
82,2.0,mt-silver,
83,2.0,national-park,
84,2.0,new-bark-town,
85,2.0,olivine-city,
86,1.0,pallet-town,
87,1.0,rock-tunnel,
88,1.0,kanto-route-1,
89,1.0,kanto-route-10,
90,1.0,kanto-route-11,
91,1.0,kanto-route-12,
92,1.0,kanto-route-13,
93,1.0,kanto-route-14,
94,1.0,kanto-route-15,
95,1.0,kanto-route-16,
96,1.0,kanto-route-17,
97,1.0,kanto-route-18,
98,1.0,kanto-sea-route-19,
99,1.0,kanto-route-2,
100,1.0,kanto-sea-route-20,
101,1.0,kanto-sea-route-21,
102,1.0,kanto-route-22,
103,1.0,kanto-route-24,
104,1.0,kanto-route-25,
105,1.0,kanto-route-26,
106,1.0,kanto-route-27,
107,1.0,kanto-route-28,
108,2.0,johto-route-29,
109,1.0,kanto-route-3,
110,2.0,johto-route-30,
111,2.0,johto-route-31,
112,2.0,johto-route-32,
113,2.0,johto-route-33,
114,2.0,johto-route-34,
115,2.0,johto-route-35,
116,2.0,johto-route-36,
117,2.0,johto-route-37,
118,2.0,johto-route-38,
119,2.0,johto-route-39,
120,1.0,kanto-route-4,
121,2.0,johto-sea-route-40,
122,2.0,johto-sea-route-41,
123,2.0,johto-route-42,
124,2.0,johto-route-43,
125,2.0,johto-route-44,
126,2.0,johto-route-45,
127,2.0,johto-route-46,
128,2.0,johto-route-47,
129,2.0,johto-route-48,
130,1.0,kanto-route-5,
131,1.0,kanto-route-6,
132,1.0,kanto-route-7,
133,1.0,kanto-route-8,
134,1.0,kanto-route-9,
135,2.0,ruins-of-alph,
136,1.0,seafoam-islands,
137,2.0,slowpoke-well,
138,2.0,sprout-tower,
139,2.0,bell-tower,
140,2.0,tohjo-falls,
141,2.0,union-cave,
147,1.0,cerulean-cave,
148,2.0,unknown-all-poliwag,
149,2.0,unknown-all-rattata,
150,2.0,unknown-all-bugs,
151,1.0,vermilion-city,
152,1.0,kanto-victory-road-1,
153,2.0,violet-city,
154,1.0,viridian-city,
155,1.0,viridian-forest,
156,2.0,whirl-islands,
157,1.0,kanto-route-23,
158,1.0,power-plant,
159,1.0,kanto-victory-road-2,
160,1.0,pokemon-tower,
161,1.0,pokemon-mansion,
162,1.0,kanto-safari-zone,
163,4.0,sandgem-town,
164,4.0,floaroma-town,
165,4.0,solaceon-town,
167,4.0,jubilife-city,
168,4.0,oreburgh-city,
169,4.0,hearthome-city,
170,4.0,veilstone-city,
171,4.0,snowpoint-city,
172,4.0,spear-pillar,
173,4.0,pal-park,
174,4.0,amity-square,
175,4.0,floaroma-meadow,
177,4.0,fullmoon-island,
178,4.0,sendoff-spring,
179,4.0,flower-paradise,
180,4.0,maniac-tunnel,
181,4.0,galactic-hq,
182,4.0,verity-lakefront,
183,4.0,newmoon-island,
184,4.0,sinnoh-battle-tower,
185,4.0,fight-area,
186,4.0,survival-area,
187,4.0,seabreak-path,
188,4.0,sinnoh-hall-of-origin-1,
189,4.0,sinnoh-hall-of-origin-2,
190,4.0,verity-cavern,
191,4.0,valor-cavern,
192,4.0,acuity-cavern,
193,4.0,jubilife-tv,
194,4.0,poketch-co,
195,4.0,gts,
196,4.0,trainers-school,
197,4.0,mining-museum,
198,4.0,sinnoh-flower-shop,
199,4.0,sinnoh-cycle-shop,
200,4.0,contest-hall,
201,4.0,poffin-house,
202,4.0,sinnoh-foreign-building,
203,4.0,pokemon-day-care,
204,4.0,veilstone-store,
205,4.0,sinnoh-game-corner,
206,4.0,canalave-library,
207,4.0,vista-lighthouse,
208,4.0,sunyshore-market,
209,4.0,footstep-house,
210,4.0,sinnoh-cafe,
211,4.0,grand-lake,
212,4.0,sinnoh-restaurant,
213,4.0,battle-park,
214,4.0,battle-frontier,
215,4.0,battle-factory,
216,4.0,battle-castle,
217,4.0,battle-arcade,
218,4.0,battle-hall,
219,4.0,distortion-world,
220,4.0,sinnoh-global-terminal,
221,4.0,sinnoh-villa,
222,4.0,battleground,
223,4.0,rotoms-room,
224,4.0,tg-eterna-bldg,
225,4.0,iron-ruins,
226,4.0,iceberg-ruins,
227,4.0,rock-peak-ruins,
228,2.0,azalea-town,
229,2.0,goldenrod-city,
230,2.0,mahogany-town,
231,1.0,pewter-city,
232,1.0,lavender-town,
233,1.0,indigo-plateau,
234,1.0,saffron-city,
236,2.0,johto-lighthouse,
237,2.0,team-rocket-hq,
238,2.0,goldenrod-tunnel,
239,2.0,mt-silver-cave,
241,2.0,pokeathlon-dome,
242,2.0,ss-aqua,
243,2.0,safari-zone-gate,
244,2.0,cliff-cave,
245,2.0,frontier-access,
246,2.0,bellchime-trail,
247,2.0,sinjoh-ruins,
248,2.0,embedded-tower,
249,2.0,pokewalker,
250,2.0,cliff-edge-gate,
252,2.0,radio-tower,
253,,day-care-couple,999.0
254,,link-trade-arrive,999.0
255,,link-trade-met,999.0
256,,kanto,999.0
257,,johto,999.0
258,,hoenn,999.0
259,,sinnoh,999.0
260,,distant-land,999.0
261,,traveling-man,999.0
262,,riley,999.0
263,,cynthia,999.0
264,,mystery-zone,999.0
265,,lovely-place,999.0
266,,pokemon-ranger,999.0
267,,faraway-place,999.0
268,,pokemon-movie,999.0
269,,pokemon-movie-06,999.0
270,,pokemon-movie-07,999.0
271,,pokemon-movie-08,999.0
272,,pokemon-movie-09,999.0
273,,pokemon-movie-10,999.0
274,,pokemon-movie-11,999.0
275,,pokemon-movie-12,999.0
276,,pokemon-movie-13,999.0
277,,pokemon-movie-14,999.0
278,,pokemon-movie-15,999.0
279,,pokemon-movie-16,999.0
280,,pokemon-cartoon,999.0
281,,space-world,999.0
282,,space-world-06,999.0
283,,space-world-07,999.0
284,,space-world-08,999.0
285,,space-world-09,999.0
286,,space-world-10,999.0
287,,space-world-11,999.0
288,,space-world-12,999.0
289,,space-world-13,999.0
290,,space-world-14,999.0
291,,space-world-15,999.0
292,,space-world-16,999.0
293,,pokemon-festa,999.0
294,,pokemon-festa-06,999.0
295,,pokemon-festa-07,999.0
296,,pokemon-festa-08,999.0
297,,pokemon-festa-09,999.0
298,,pokemon-festa-10,999.0
299,,pokemon-festa-11,999.0
300,,pokemon-festa-12,999.0
301,,pokemon-festa-13,999.0
302,,pokemon-festa-14,999.0
303,,pokemon-festa-15,999.0
304,,pokemon-festa-16,999.0
305,,pokepark,999.0
306,,pokepark-06,999.0
307,,pokepark-07,999.0
308,,pokepark-08,999.0
309,,pokepark-09,999.0
310,,pokepark-10,999.0
311,,pokepark-11,999.0
312,,pokepark-12,999.0
313,,pokepark-13,999.0
314,,pokepark-14,999.0
315,,pokepark-15,999.0
316,,pokepark-16,999.0
317,,pokemon-center,999.0
318,,pc-tokyo,999.0
319,,pc-osaka,999.0
320,,pc-fukuoka,999.0
321,,pc-nagoya,999.0
322,,pc-sapporo,999.0
323,,pc-yokohama,999.0
324,,nintendo-world,999.0
325,,pokemon-event,999.0
326,,pokemon-event-06,999.0
327,,pokemon-event-07,999.0
328,,pokemon-event-08,999.0
329,,pokemon-event-09,999.0
330,,pokemon-event-10,999.0
331,,pokemon-event-11,999.0
332,,pokemon-event-12,999.0
333,,pokemon-event-13,999.0
334,,pokemon-event-14,999.0
335,,pokemon-event-15,999.0
336,,pokemon-event-16,999.0
337,,wi-fi-event,999.0
338,,wi-fi-gift,999.0
339,,pokemon-fan-club,999.0
340,,event-site,999.0
341,,concert-event,999.0
342,,mr-pokemon,999.0
343,,primo,999.0
344,5.0,unova-mystery-zone,
345,5.0,unova-faraway-place,
346,5.0,nuvema-town,
347,5.0,accumula-town,
348,5.0,striaton-city,
349,5.0,nacrene-city,
350,5.0,castelia-city,
351,5.0,nimbasa-city,
352,5.0,driftveil-city,
353,5.0,mistralton-city,
354,5.0,icirrus-city,
355,5.0,opelucid-city,
356,5.0,unova-route-1,
357,5.0,unova-route-2,
358,5.0,unova-route-3,
359,5.0,unova-route-4,
360,5.0,unova-route-5,
361,5.0,unova-route-6,
362,5.0,unova-route-7,
363,5.0,unova-route-8,
364,5.0,unova-route-9,
365,5.0,unova-route-10,
366,5.0,unova-route-11,
367,5.0,unova-route-12,
368,5.0,unova-route-13,
369,5.0,unova-route-14,
370,5.0,unova-route-15,
371,5.0,unova-route-16,
372,5.0,unova-route-17,
373,5.0,unova-route-18,
374,5.0,dreamyard,
375,5.0,pinwheel-forest,
376,5.0,desert-resort,
377,5.0,relic-castle,
378,5.0,cold-storage,
379,5.0,chargestone-cave,
380,5.0,twist-mountain,
381,5.0,dragonspiral-tower,
382,5.0,unova-victory-road,
383,5.0,lacunosa-town,
384,5.0,undella-town,
385,5.0,anville-town,
386,5.0,unova-pokemon-league,
387,5.0,ns-castle,
388,5.0,royal-unova,
389,5.0,gear-station,
390,5.0,battle-subway,
391,5.0,musical-theater,
392,5.0,black-city,
393,5.0,white-forest,
394,5.0,unity-tower,
395,5.0,wellspring-cave,
396,5.0,mistralton-cave,
397,5.0,rumination-field,
398,5.0,celestial-tower,
399,5.0,moor-of-icirrus,
400,5.0,unova-shopping-mall,
401,5.0,challengers-cave,
402,5.0,poke-transfer-lab,
403,5.0,giant-chasm,
404,5.0,liberty-garden,
405,5.0,p2-laboratory,
406,5.0,skyarrow-bridge,
407,5.0,driftveil-drawbridge,
408,5.0,tubeline-bridge,
409,5.0,village-bridge,
410,5.0,marvelous-bridge,
411,5.0,entralink,
412,5.0,abundant-shrine,
413,5.0,undella-bay,
414,5.0,lostlorn-forest,
415,5.0,trial-chamber,
416,5.0,guidance-chamber,
417,5.0,entree-forest,
418,5.0,accumula-gate,
419,5.0,undella-gate,
420,5.0,nacrene-gate,
421,5.0,castelia-gate,
422,5.0,nimbasa-gate,
423,5.0,opelucid-gate,
424,5.0,black-gate,
425,5.0,white-gate,
426,5.0,bridge-gate,
427,5.0,route-gate,
428,5.0,abyssal-ruins,
429,3.0,petalburg-city,
430,3.0,slateport-city,
431,3.0,lilycove-city,
432,3.0,mossdeep-city,
433,3.0,sootopolis-city,
434,3.0,ever-grande-city,
435,3.0,meteor-falls,
436,3.0,rusturf-tunnel,
437,3.0,granite-cave,
438,3.0,petalburg-woods,
439,3.0,jagged-pass,
440,3.0,fiery-path,
441,3.0,mt-pyre,
442,3.0,seafloor-cavern,
443,3.0,cave-of-origin,
444,3.0,hoenn-victory-road,
445,3.0,shoal-cave,
446,3.0,new-mauville,
447,3.0,abandoned-ship,
448,3.0,sky-pillar,
449,3.0,hoenn-route-101,
450,3.0,hoenn-route-102,
451,3.0,hoenn-route-103,
452,3.0,hoenn-route-104,
453,3.0,hoenn-route-105,
454,3.0,hoenn-route-106,
455,3.0,hoenn-route-107,
456,3.0,hoenn-route-108,
457,3.0,hoenn-route-109,
458,3.0,hoenn-route-110,
459,3.0,hoenn-route-111,
460,3.0,hoenn-route-112,
461,3.0,hoenn-route-113,
462,3.0,hoenn-route-114,
463,3.0,hoenn-route-115,
464,3.0,hoenn-route-116,
465,3.0,hoenn-route-117,
466,3.0,hoenn-route-118,
467,3.0,hoenn-route-119,
468,3.0,hoenn-route-120,
469,3.0,hoenn-route-121,
470,3.0,hoenn-route-122,
471,3.0,hoenn-route-123,
472,3.0,hoenn-route-124,
473,3.0,hoenn-route-125,
474,3.0,hoenn-route-126,
475,3.0,hoenn-route-127,
476,3.0,hoenn-route-128,
477,3.0,hoenn-route-129,
478,3.0,hoenn-route-130,
479,3.0,hoenn-route-131,
480,3.0,hoenn-route-132,
481,3.0,hoenn-route-133,
482,3.0,hoenn-route-134,
483,3.0,hoenn-safari-zone,
484,3.0,dewford-town,
485,3.0,pacifidlog-town,
486,3.0,magma-hideout,
487,3.0,mirage-tower,
488,3.0,desert-underpass,
489,3.0,artisan-cave,
490,3.0,hoenn-altering-cave,
491,1.0,monean-chamber,
492,1.0,liptoo-chamber,
493,1.0,weepth-chamber,
494,1.0,dilford-chamber,
495,1.0,scufib-chamber,
496,1.0,rixy-chamber,
497,1.0,viapos-chamber,
498,1.0,ss-anne,
500,1.0,mt-ember,
501,1.0,berry-forest,
502,1.0,icefall-cave,
503,1.0,pattern-bush,
504,1.0,lost-cave,
505,1.0,kindle-road,
506,1.0,treasure-beach,
507,1.0,cape-brink,
508,1.0,bond-bridge,
509,1.0,three-isle-port,
510,1.0,resort-gorgeous,
511,1.0,water-labyrinth,
512,1.0,five-isle-meadow,
513,1.0,memorial-pillar,
514,1.0,outcast-island,
515,1.0,green-path,
516,1.0,water-path,
517,1.0,ruin-valley,
518,1.0,trainer-tower,
519,1.0,canyon-entrance,
520,1.0,sevault-canyon,
521,1.0,tanoby-ruins,
526,1.0,one-island,
527,1.0,four-island,
528,1.0,five-island,
529,1.0,kanto-altering-cave,
531,5.0,aspertia-city,
532,5.0,virbank-city,
533,5.0,humilau-city,
534,5.0,pokestar-studios,
535,5.0,join-avenue,
536,5.0,floccesy-town,
537,5.0,lentimas-town,
538,5.0,unova-route-19,
539,5.0,unova-route-20,
540,5.0,unova-route-21,
541,5.0,unova-route-22,
542,5.0,unova-route-23,
543,5.0,castelia-sewers,
544,5.0,floccesy-ranch,
545,5.0,virbank-complex,
546,5.0,reversal-mountain,
547,5.0,strange-house,
548,5.0,unova-victory-road-2,
549,5.0,plasma-frigate,
550,5.0,relic-passage,
551,5.0,clay-tunnel,
552,5.0,white-treehollow,
553,5.0,black-tower,
554,5.0,seaside-cave,
555,5.0,cave-of-being,
556,5.0,hidden-grotto,
557,5.0,marine-tube,
558,5.0,virbank-gate,
559,5.0,aspertia-gate,
560,5.0,nature-sanctuary,
561,5.0,medal-secretariat,
562,5.0,underground-ruins,
563,5.0,rocky-mountain-room,
564,5.0,glacier-room,
565,5.0,iron-room,
566,5.0,pledge-grove,
567,3.0,littleroot-town,
568,3.0,oldale-town,
569,3.0,lavaridge-town,
570,3.0,fallarbor-town,
571,3.0,verdanturf-town,
572,3.0,mauville-city,
573,3.0,rustboro-city,
574,3.0,fortree-city,
575,3.0,underwater,
576,3.0,mt-chimney,
577,3.0,mirage-island,
578,3.0,southern-island,
579,3.0,sealed-chamber,
580,3.0,scorched-slab,
581,3.0,island-cave,
582,3.0,desert-ruins,
583,3.0,ancient-tomb,
584,3.0,inside-of-truck,
585,3.0,secret-base,
586,3.0,hoenn-battle-tower,
587,6.0,vaniville-town,
588,6.0,kalos-route-1,
589,6.0,vaniville-pathway,
590,6.0,aquacorde-town,
591,6.0,kalos-route-2,
592,6.0,avance-trail,
593,6.0,santalune-forest,
594,6.0,kalos-route-3,
595,6.0,ouvert-way,
596,6.0,santalune-city,
597,6.0,kalos-route-4,
598,6.0,parterre-way,
599,6.0,lumiose-city,
600,6.0,prism-tower,
601,6.0,lysandre-labs,
602,6.0,kalos-route-5,
603,6.0,versant-road,
604,6.0,camphrier-town,
605,6.0,shabboneau-castle,
606,6.0,kalos-route-6,
607,6.0,palais-lane,
608,6.0,parfum-palace,
609,6.0,kalos-route-7,
610,6.0,rivière-walk,
611,6.0,cyllage-city,
612,6.0,kalos-route-8,
613,6.0,muraille-coast,
614,6.0,ambrette-town,
615,6.0,kalos-route-9,
616,6.0,spikes-passage,
617,6.0,battle-chateau,
618,6.0,kalos-route-10,
619,6.0,menhir-trail,
620,6.0,geosenge-town,
621,6.0,kalos-route-11,
622,6.0,miroir-way,
623,6.0,reflection-cave,
624,6.0,shalour-city,
625,6.0,tower-of-mastery,
626,6.0,kalos-route-12,
627,6.0,fourrage-road,
628,6.0,coumarine-city,
629,6.0,kalos-route-13,
630,6.0,lumiose-badlands,
631,6.0,kalos-route-14,
632,6.0,laverre-nature-trail,
633,6.0,laverre-city,
634,6.0,poke-ball-factory,
635,6.0,kalos-route-15,
636,6.0,brun-way,
637,6.0,dendemille-town,
638,6.0,kalos-route-16,
639,6.0,melancolie-path,
640,6.0,frost-cavern,
641,6.0,kalos-route-17,
642,6.0,mamoswine-road,
643,6.0,anistar-city,
644,6.0,kalos-route-18,
645,6.0,vallee-etroite-way,
646,6.0,couriway-town,
647,6.0,kalos-route-19,
648,6.0,grande-vallee-way,
649,6.0,snowbelle-city,
650,6.0,kalos-route-20,
651,6.0,winding-woods,
652,6.0,pokemon-village,
653,6.0,kalos-route-21,
654,6.0,dernière-way,
655,6.0,kalos-route-22,
656,6.0,detourner-way,
657,6.0,kalos-victory-road,
658,6.0,kalos-pokemon-league,
659,6.0,kiloude-city,
660,6.0,battle-maison,
661,6.0,azure-bay,
662,6.0,dendemille-gate,
663,6.0,couriway-gate,
664,6.0,ambrette-gate,
665,6.0,lumiose-gate,
666,6.0,shalour-gate,
667,6.0,coumarine-gate,
668,6.0,laverre-gate,
669,6.0,anistar-gate,
670,6.0,snowbelle-gate,
671,6.0,glittering-cave,
672,6.0,connecting-cave,
673,6.0,zubat-roost,
674,6.0,kalos-power-plant,
675,6.0,team-flare-secret-hq,
676,6.0,terminus-cave,
677,6.0,lost-hotel,
678,6.0,chamber-of-emptiness,
679,6.0,sea-spirits-den,
680,6.0,friend-safari,
681,6.0,blazing-chamber,
682,6.0,flood-chamber,
683,6.0,ironworks-chamber,
684,6.0,dragonmark-chamber,
685,6.0,radiant-chamber,
686,6.0,pokemon-league-gate,
687,6.0,lumiose-station,
688,6.0,kiloude-station,
689,6.0,ambrette-aquarium,
690,6.0,unknown-dungeon,
691,3.0,hoenn-pokemon-league,
692,3.0,team-aqua-hideout,
693,3.0,sea-mauville,
694,3.0,team-magma-hideout,
695,3.0,battle-resort,
696,3.0,ss-tidal,
697,3.0,mirage-forest,
698,3.0,mirage-cave,
699,3.0,mirage-mountain,
700,3.0,trackless-forest,
701,3.0,pathless-plain,
702,3.0,nameless-cavern,
703,3.0,fabled-cave,
704,3.0,gnarled-den,
705,3.0,crescent-isle,
706,3.0,secret-islet,
707,3.0,soaring-in-the-sky,
708,3.0,secret-shore,
709,3.0,secret-meadow,
710,7.0,alola-route-1--hauoli-outskirts,
711,7.0,alola-route-1,
712,7.0,alola-route-3,
713,7.0,alola-route-2,
714,7.0,kalae-bay,
715,7.0,melemele-sea,
716,7.0,hauoli-city--beachfront,
717,7.0,hauoli-city--shopping-district,
718,7.0,hauoli-city--marina,
719,7.0,iki-town,
720,7.0,mahalo-trail,
721,7.0,mahalo-trail--plank-bridge,
722,7.0,ruins-of-conflict,
723,7.0,ten-carat-hill,
724,7.0,ten-carat-hill--farthest-hollow,
725,7.0,hauoli-cemetery,
726,7.0,melemele-meadow,
727,7.0,seaward-cave,
728,7.0,berry-fields,
729,7.0,verdant-cavern--trial-site,
730,7.0,verdant-cavern--totems-den,
731,7.0,alola-route-4,
732,7.0,alola-route-5,
733,7.0,alola-route-6,
734,7.0,alola-route-7,
735,7.0,alola-route-8,
736,7.0,alola-route-9,
737,7.0,hano-grand-resort,
738,7.0,hano-beach,
739,7.0,akala-meadow,
740,7.0,paniola-town,
741,7.0,heahea-city,
742,7.0,konikoni-city,
743,7.0,royal-avenue,
744,7.0,memorial-hill,
745,7.0,paniola-ranch,
746,7.0,wela-volcano-park,
747,7.0,wela-volcano-park--totems-den,
748,7.0,brooklet-hill,
749,7.0,brooklet-hill--totems-den,
750,7.0,lush-jungle,
751,7.0,ruins-of-life,
752,7.0,akala-outskirts,
753,7.0,digletts-tunnel,
754,7.0,battle-royal-dome,
755,7.0,alola-route-10,
756,7.0,alola-route-11,
757,7.0,secluded-shore,
758,7.0,alola-route-13,
759,7.0,tapu-village,
760,7.0,alola-route-15,
761,7.0,alola-route-16,
762,7.0,alola-route-17,
763,7.0,alola-route-12,
764,7.0,haina-desert,
765,7.0,alola-route-14,
766,7.0,ulaula-meadow,
767,7.0,po-town,
768,7.0,malie-city-proper,
769,7.0,malie-garden,
770,7.0,mount-hokulani,
771,7.0,blush-mountain,
772,7.0,ruins-of-abundance,
773,7.0,lake-of-the-sunne,
774,7.0,lake-of-the-moone,
775,7.0,mount-lanakila,
776,7.0,shady-house,
777,7.0,thrifty-megamart--abandoned-site,
778,7.0,hokulani-observatory,
779,7.0,alola-pokemon-league,
780,7.0,poni-meadow,
781,7.0,poni-wilds,
782,7.0,ancient-poni-path,
783,7.0,poni-breaker-coast,
784,7.0,poni-grove,
785,7.0,poni-plains,
786,7.0,poni-coast,
787,7.0,poni-gauntlet,
788,7.0,seafolk-village,
789,7.0,vast-poni-canyon,
790,7.0,altar-of-the-sunne,
791,7.0,altar-of-the-moone,
792,7.0,ruins-of-hope,
793,7.0,resolution-cave,
794,7.0,exeggutor-island,
795,7.0,battle-tree,
796,7.0,aether-paradise,
797,7.0,ultra-space,
798,7.0,malie-city--outer-cape,
799,1.0,roaming-kanto,
800,2.0,roaming-johto,
801,3.0,roaming-hoenn,
802,4.0,roaming-sinnoh,
803,3.0,terra-cave,
804,3.0,marine-cave,
805,1.0,two-island,
806,1.0,three-island,
807,1.0,three-isle-path,
808,1.0,six-island,
809,1.0,seven-island,
810,1.0,birth-island,
811,1.0,navel-rock,
812,3.0,faraway-island,
813,3.0,hoenn-battle-frontier,
814,2.0,johto-safari-zone,
815,10.0,cabo-poco,
816,10.0,los-platos,
817,10.0,mesagoza,
818,10.0,cortondo,
819,10.0,alfornada,
820,10.0,pokemon-league,
821,10.0,artazon,
822,10.0,levincia,
823,10.0,zapapico,
824,10.0,cascarrafa,
825,10.0,porto-marinada,
826,10.0,medali,
827,10.0,montenevera,
828,10.0,paldea-south-province-area-one,
829,10.0,paldea-south-province-area-two,
830,10.0,paldea-south-province-area-three,
831,10.0,paldea-south-province-area-four,
832,10.0,paldea-south-province-area-five,
833,10.0,paldea-south-province-area-six,
834,10.0,south-paldean-sea,
835,10.0,poco-path,
836,10.0,inlet-grotto,
837,10.0,naranja-academy/uva-academy,
838,10.0,alfornada-cavern,
839,10.0,grasswither-shrine,
840,10.0,paldea-east-province-area-one,
841,10.0,paldea-east-province-area-two,
842,10.0,paldea-east-province-area-three,
843,10.0,east-paldean-sea,
844,10.0,tagtree-thicket,
845,10.0,schedar-squads-base,
846,10.0,navi-squads-base,
847,10.0,paldea-west-province-area-one,
848,10.0,paldea-west-province-area-two,
849,10.0,paldea-west-province-area-three,
850,10.0,asado-desert,
851,10.0,west-paldean-sea,
852,10.0,segin-squads-base,
853,10.0,icerend-shrine,
854,10.0,paldea-north-province-area-one,
855,10.0,paldea-north-province-area-two,
856,10.0,paldea-north-province-area-three,
857,10.0,casseroya-lake,
858,10.0,dalizapa-passage,
859,10.0,glaseado-mountain,
860,10.0,socarrat-trail,
861,10.0,groundblight-shrine,
862,10.0,firescourge-shrine,
863,10.0,north-paldean-sea,
864,10.0,ruchbah-squads-base,
865,10.0,caph-squads-base,
866,10.0,area-zero,
867,10.0,zero-lab,
868,8.0,galar-route-1,
869,8.0,galar-route-2,
870,8.0,galar-route-3,
871,8.0,galar-route-4,
872,8.0,galar-route-5,
873,8.0,galar-route-6,
874,8.0,galar-route-7,
875,8.0,galar-route-8,
876,8.0,galar-route-9,
877,8.0,galar-route-10,
878,8.0,axews-eye,
879,8.0,ballimere-lake,
880,8.0,ballonlea,
881,8.0,battle-tower,
882,8.0,brawlers-cave,
883,8.0,bridge-field,
884,8.0,challenge-beach,
885,8.0,challenge-road,
886,8.0,circhester,
887,8.0,courageous-cavern,
888,8.0,crown-shrine,
889,8.0,dappled-grove,
890,8.0,dusty-bowl,
891,8.0,dyna-tree-hill,
892,8.0,east-lake-axewell,
893,8.0,fields-of-honor,
894,8.0,forest-of-focus,
895,8.0,freezington,
896,8.0,frigid-sea,
897,8.0,frostpoint-field,
898,8.0,galar-mine,
899,8.0,galar-mine-no-2,
900,8.0,giants-bed,
901,8.0,giants-foot,
902,8.0,giants-mirror,
903,8.0,giants-seat,
904,8.0,glimwood-tangle,
905,8.0,hammerlocke,
906,8.0,hammerlocke-hills,
907,8.0,honeycalm-island,
908,8.0,honeycalm-sea,
909,8.0,hulbury,
910,8.0,galar-iceberg-ruins,
911,8.0,insular-sea,
912,8.0,galar-iron-ruins,
913,8.0,lake-of-outrage,
914,8.0,lakeside-cave,
915,8.0,loop-lagoon,
916,8.0,master-dojo,
917,8.0,max-lair,
918,8.0,motostoke,
919,8.0,motostoke-outskirts,
920,8.0,motostoke-riverbank,
921,8.0,north-lake-miloch,
922,8.0,old-cemetary,
923,8.0,path-to-the-peak,
924,8.0,postwick,
925,8.0,potbottom-desert,
926,8.0,roaring-sea-caves,
927,8.0,galar-rock-peak-ruins,
928,8.0,rolling-fields,
929,8.0,slippery-slope,
930,8.0,slumbering-weald,
931,8.0,snowslide-slope,
932,8.0,soothing-wetlands,
933,8.0,south-lake-miloch,
934,8.0,spikemuth,
935,8.0,spike-decision-ruins,
936,8.0,steamdrift-way,
937,8.0,stepping-stone-sea,
938,8.0,stony-wilderness,
939,8.0,stow-on-side,
940,8.0,three-point-pass,
941,8.0,tower-of-darkness,
942,8.0,tower-of-waters,
943,8.0,training-lowlands,
944,8.0,tunnel-to-the-top,
945,8.0,turffield,
946,8.0,warm-up-tunnel,
947,8.0,watchtower-ruins,
948,8.0,wedgehurst,
949,8.0,west-lake-axewell,
950,8.0,workout-sea,
951,8.0,wyndon,
952,9.0,aipom-hill,
953,9.0,ancient-quarry,
954,9.0,arenas-approach,
955,9.0,aspiration-hill,
956,9.0,avalanche-slopes,
957,9.0,avaluggs-legacy,
958,9.0,bathers-lagoon,
959,9.0,bolderoll-ravine,
960,9.0,bolderoll-slope,
